"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.2.1 Vernieling cq. zaakbeschadiging"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"5827";"5432";"5189";"5053";"5018";"4921";"4327";"4470";"4503";"4245";"4816";"4749"
"Haarlemmerbuurt";"48";"66";"46";"58";"42";"42";"43";"60";"41";"36";"45";"44"
"Planciusbuurt-Noord";"0";"1";"0";"1";"0";"2";"2";"0";"1";"0";"1";"2"
"Westelijke eilanden";"11";"19";"11";"9";"1";"9";"9";"10";"9";"9";"3";"4"
"Westerdokseiland";"8";"12";"8";"6";"9";"6";"6";"15";"9";"9";"5";"4"
"Planciusbuurt-Zuid";"2";"1";"0";"2";"0";"1";"1";"0";"2";"2";"1";"4"
"Haarlemmerbuurt-West";"22";"18";"15";"26";"23";"15";"11";"22";"14";"11";"21";"17"
"Haarlemmerbuurt-Oost";"5";"15";"12";"14";"9";"9";"14";"13";"6";"5";"14";"13"
"Jordaan";"173";"137";"124";"115";"114";"105";"78";"112";"98";"84";"131";"114"
"Marnixbuurt-Noord";"9";"12";"14";"13";"7";"6";"2";"2";"6";"9";"15";"4"
"Driehoekbuurt";"25";"8";"16";"10";"13";"9";"7";"10";"8";"9";"7";"4"
"Anjeliersbuurt-Noord";"20";"12";"13";"5";"7";"5";"7";"2";"8";"7";"13";"10"
"Zaagpoortbuurt";"11";"3";"4";"7";"3";"9";"3";"3";"6";"4";"8";"10"
"Anjeliersbuurt-Zuid";"26";"20";"11";"17";"14";"8";"6";"16";"6";"9";"7";"12"
"Marnixbuurt-Midden";"3";"3";"2";"1";"0";"3";"2";"0";"1";"0";"2";"0"
"Bloemgrachtbuurt";"17";"15";"13";"16";"17";"7";"7";"14";"14";"5";"5";"10"
"Groenmarktkadebuurt";"5";"2";"8";"7";"9";"7";"6";"9";"6";"5";"4";"5"
"Marnixbuurt-Zuid";"9";"15";"7";"14";"10";"18";"18";"40";"18";"13";"33";"34"
"Elandsgrachtbuurt";"39";"41";"32";"19";"24";"29";"14";"9";"16";"19";"31";"14"
"Passeerdersgrachtbuurt";"9";"6";"4";"6";"10";"4";"6";"7";"9";"4";"6";"11"
"Grachtengordel-West";"77";"48";"47";"49";"52";"43";"48";"43";"38";"28";"46";"49"
"Langestraat e.o.";"11";"9";"5";"4";"7";"6";"9";"10";"5";"4";"11";"12"
"Leliegracht e.o.";"16";"11";"10";"9";"14";"12";"18";"17";"12";"7";"9";"10"
"Felix Meritisbuurt";"34";"18";"23";"28";"20";"21";"18";"11";"10";"15";"20";"18"
"Leidsegracht-Noord";"16";"10";"9";"8";"11";"4";"3";"5";"11";"2";"6";"9"
"Burgwallen-Nieuwe Zijde";"140";"126";"99";"122";"111";"110";"131";"126";"112";"92";"120";"157"
"Stationsplein e.o.";"39";"24";"18";"34";"26";"21";"30";"28";"21";"20";"25";"26"
"Hemelrijk";"14";"11";"9";"12";"8";"14";"18";"14";"12";"8";"22";"22"
"Nieuwendijk-Noord";"17";"27";"13";"16";"18";"25";"21";"27";"22";"25";"26";"34"
"Spuistraat-Noord";"15";"12";"13";"18";"11";"9";"16";"16";"8";"4";"14";"12"
"Nieuwe Kerk e.o.";"13";"25";"11";"11";"15";"19";"20";"16";"22";"18";"6";"20"
"Spuistraat-Zuid";"15";"14";"15";"11";"16";"6";"12";"10";"8";"7";"8";"13"
"Begijnhofbuurt";"20";"6";"15";"10";"11";"10";"8";"10";"10";"8";"13";"20"
"Kalverdriehoek";"7";"7";"5";"10";"6";"6";"6";"5";"9";"2";"6";"10"
"Burgwallen-Oude Zijde";"109";"119";"103";"115";"97";"90";"109";"85";"66";"59";"96";"111"
"Kop Zeedijk";"16";"14";"17";"16";"11";"17";"23";"6";"7";"8";"17";"18"
"Oude Kerk e.o.";"42";"46";"36";"53";"35";"33";"28";"40";"22";"22";"25";"30"
"Burgwallen-Oost";"35";"46";"35";"24";"35";"27";"34";"30";"27";"20";"30";"36"
"Nes e.o.";"4";"8";"9";"8";"6";"4";"11";"5";"9";"5";"11";"19"
"BG-terrein e.o.";"12";"5";"6";"14";"10";"9";"13";"4";"1";"4";"13";"8"
"Nieuwmarkt/Lastage";"94";"58";"75";"60";"80";"70";"79";"83";"42";"47";"87";"94"
"Oosterdokseiland";"6";"5";"7";"9";"8";"4";"13";"10";"4";"7";"12";"12"
"Lastage";"9";"9";"9";"8";"6";"5";"9";"5";"4";"1";"9";"6"
"Scheepvaarthuisbuurt";"7";"14";"6";"9";"12";"5";"7";"8";"4";"4";"13";"15"
"Rapenburg";"10";"2";"1";"8";"8";"5";"8";"6";"3";"2";"3";"5"
"Nieuwmarkt";"18";"8";"11";"5";"7";"15";"10";"7";"9";"9";"11";"15"
"Uilenburg";"6";"5";"4";"5";"10";"9";"9";"6";"3";"4";"8";"14"
"Valkenburg";"3";"2";"7";"3";"8";"4";"4";"4";"2";"3";"1";"2"
"Zuiderkerkbuurt";"20";"3";"12";"7";"8";"14";"9";"17";"5";"10";"14";"7"
"Waterloopleinbuurt";"15";"10";"18";"6";"13";"9";"10";"20";"8";"7";"16";"18"
"Grachtengordel-Zuid";"103";"87";"96";"96";"90";"79";"70";"66";"46";"30";"84";"97"
"Leidsegracht-Zuid";"4";"10";"6";"8";"7";"5";"9";"10";"3";"3";"8";"9"
"Geelvinckbuurt";"6";"7";"9";"10";"15";"10";"8";"7";"7";"5";"9";"12"
"Rembrandtplein e.o.";"50";"31";"41";"45";"32";"35";"23";"20";"14";"3";"33";"40"
"Spiegelbuurt";"13";"11";"6";"10";"6";"11";"9";"10";"4";"4";"3";"10"
"Vijzelstraatbuurt";"18";"17";"9";"6";"16";"14";"13";"10";"10";"7";"17";"13"
"Amstelveldbuurt";"12";"11";"25";"17";"14";"4";"8";"9";"8";"8";"14";"13"
"De Weteringschans";"111";"102";"94";"90";"97";"83";"77";"80";"43";"39";"65";"71"
"Leidsebuurt-Noordwest";"18";"17";"22";"20";"19";"16";"14";"12";"8";"6";"5";"13"
"Leidsebuurt-Noordoost";"33";"23";"19";"25";"25";"26";"20";"21";"14";"6";"24";"13"
"Weteringbuurt";"20";"13";"10";"13";"14";"10";"12";"16";"8";"7";"9";"12"
"Utrechtsebuurt-Zuid";"3";"4";"5";"6";"5";"4";"4";"4";"0";"2";"6";"4"
"Leidsebuurt-Zuidwest";"9";"16";"10";"4";"7";"6";"4";"5";"3";"3";"5";"3"
"Leidsebuurt-Zuidoost";"9";"13";"13";"10";"15";"7";"7";"8";"1";"4";"8";"9"
"Den Texbuurt";"11";"8";"7";"9";"5";"7";"5";"5";"3";"4";"2";"10"
"Frederikspleinbuurt";"8";"8";"8";"3";"7";"7";"11";"9";"6";"7";"6";"7"
"Weesperbuurt/Plantage";"45";"41";"43";"43";"34";"40";"31";"47";"49";"40";"29";"42"
"Weesperbuurt";"18";"17";"18";"15";"10";"15";"11";"11";"17";"11";"10";"9"
"Plantage";"11";"9";"9";"12";"10";"11";"11";"13";"14";"8";"9";"15"
"Sarphatistrook";"15";"14";"16";"15";"9";"12";"7";"20";"15";"16";"9";"16"
"Alexanderplein e.o.";"1";"1";"0";"1";"5";"2";"2";"3";"3";"5";"1";"2"
"Oostelijke Eilanden/Kadijken";"98";"69";"54";"56";"78";"58";"43";"55";"86";"67";"72";"59"
"Marine-Etablissement";"3";"4";"3";"3";"6";"4";"1";"0";"2";"6";"2";"2"
"Kattenburg";"6";"6";"3";"8";"11";"8";"8";"4";"13";"6";"3";"6"
"Wittenburg";"23";"10";"10";"17";"14";"6";"3";"15";"18";"11";"20";"10"
"Oostenburg";"7";"8";"6";"7";"10";"5";"3";"6";"10";"13";"13";"9"
"Czaar Peterbuurt";"19";"14";"7";"9";"10";"12";"4";"9";"15";"15";"12";"8"
"Het Funen";"6";"3";"6";"6";"13";"7";"5";"3";"2";"7";"13";"6"
"Kadijken";"20";"16";"11";"6";"11";"14";"14";"10";"18";"6";"5";"14"
"Kazernebuurt";"14";"8";"8";"0";"3";"2";"5";"8";"8";"3";"4";"4"
"Havens-West";"17";"15";"5";"9";"6";"8";"7";"25";"19";"14";"10";"8"
"Afrikahaven";"3";"4";"2";"1";"0";"0";"0";"2";"0";"0";"3";"0"
"Amerikahaven";"3";"5";"0";"2";"1";"1";"2";"13";"5";"5";"0";"3"
"Westhaven-Noord";"6";"4";"1";"3";"0";"4";"3";"5";"5";"1";"2";"2"
"Petroleumhaven";"1";"0";"1";"3";"1";"1";"1";"1";"1";"1";"0";"0"
"Vervoerscentrum";"2";"0";"0";"0";"0";"0";"1";"1";"1";"3";"1";"1"
"Westhaven-Zuid";"2";"2";"1";"0";"4";"2";"0";"3";"7";"4";"4";"2"
"Coenhaven/Minervahaven";"11";"6";"5";"7";"2";"3";"8";"9";"2";"6";"8";"7"
"Coenhaven";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"Vlothaven";"4";"2";"0";"0";"0";"0";"1";"2";"0";"2";"1";"0"
"Minervahaven-Noordoost";"1";"1";"1";"1";"0";"0";"2";"4";"0";"1";"3";"2"
"Minervahaven-Noordwest";"1";"1";"0";"2";"1";"1";"0";"0";"1";"0";"0";"1"
"Minervahaven-Zuidwest";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Minervahaven-Zuidoost";"3";"1";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"Alfa-driehoek";"1";"0";"1";"3";"0";"2";"0";"2";"1";"1";"3";"2"
"Hemknoop-Noord";"1";"0";"0";"0";"0";"0";"4";"0";"0";"2";"0";"0"
"Sloterdijk-West";"54";"23";"49";"66";"81";"263";"144";"99";"88";"78";"78";"101"
"Isolatorbuurt";"20";"18";"37";"61";"72";"227";"133";"82";"77";"69";"69";"21"
"Contactbuurt";"1";"2";"6";"2";"3";"30";"5";"10";"3";"2";"6";"69"
"Woon- en Groengebied Sloterdijk";"33";"3";"6";"3";"6";"6";"6";"7";"8";"7";"3";"11"
"Spaarndammerbuurt/Zeeheldenbuurt";"65";"64";"58";"60";"53";"48";"79";"72";"52";"49";"64";"43"
"Hemknoop-Zuid";"1";"3";"0";"3";"0";"3";"16";"21";"5";"3";"6";"6"
"Overbraker Binnenpolder";"2";"1";"1";"0";"0";"2";"0";"3";"4";"0";"0";"0"
"Zaanstraat emplacement";"2";"1";"3";"1";"1";"1";"2";"0";"1";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"7";"11";"6";"11";"6";"4";"18";"11";"3";"7";"13";"7"
"Spaarndammerbuurt-Midden";"9";"5";"9";"12";"3";"3";"6";"2";"7";"5";"10";"10"
"Spaarndammerbuurt-Zuidwest";"14";"9";"4";"8";"9";"5";"11";"5";"3";"11";"9";"2"
"Spaarndammerbuurt-Noordoost";"13";"17";"18";"8";"12";"16";"7";"14";"7";"8";"18";"11"
"Zeeheldenbuurt";"6";"8";"10";"10";"12";"6";"7";"4";"8";"4";"4";"2"
"Westergasfabriek";"4";"4";"4";"1";"6";"2";"6";"6";"6";"6";"1";"2"
"Spaarndammerbuurt-Zuidoost";"7";"5";"3";"6";"4";"6";"6";"6";"8";"5";"3";"3"
"Houthavens";"6";"6";"3";"3";"1";"3";"7";"2";"7";"7";"13";"14"
"Houthavens-West";"3";"4";"1";"0";"0";"3";"2";"2";"6";"7";"11";"14"
"Houthavens-Oost";"3";"2";"2";"3";"1";"0";"5";"0";"1";"0";"2";"0"
"De Kolenkit";"51";"42";"22";"37";"51";"52";"40";"36";"59";"40";"46";"48"
"Kolenkitbuurt-Noord";"13";"13";"3";"15";"19";"15";"15";"11";"27";"16";"11";"14"
"Kolenkitbuurt-Zuid";"15";"12";"11";"6";"11";"7";"3";"7";"7";"5";"6";"8"
"Laan van Spartaan";"7";"7";"2";"5";"13";"8";"3";"5";"11";"6";"8";"14"
"Robert Scottbuurt-West";"16";"10";"6";"11";"8";"22";"19";"13";"14";"13";"21";"12"
"Landlust";"89";"107";"97";"92";"77";"81";"90";"76";"75";"65";"83";"79"
"Bosleeuw";"33";"35";"37";"32";"32";"27";"25";"26";"29";"28";"28";"25"
"Gibraltarbuurt";"25";"17";"16";"23";"17";"13";"20";"16";"12";"9";"14";"20"
"Bedrijventerrein Landlust";"4";"9";"4";"4";"1";"4";"3";"0";"6";"2";"7";"2"
"Landlust-Noord";"9";"15";"11";"4";"7";"7";"13";"9";"6";"12";"10";"8"
"Erasmusparkbuurt-Oost";"4";"6";"10";"10";"6";"10";"7";"7";"8";"3";"9";"10"
"Landlust-Zuid";"14";"25";"19";"19";"14";"20";"22";"18";"14";"11";"15";"14"
"Erasmuspark";"37";"29";"24";"21";"31";"26";"10";"21";"25";"28";"11";"21"
"Robert Scottbuurt-Oost";"9";"7";"6";"6";"11";"3";"3";"2";"7";"4";"1";"4"
"Erasmusparkbuurt-West";"28";"22";"18";"15";"20";"23";"7";"19";"18";"24";"10";"17"
"Centrale Markt";"16";"16";"30";"14";"16";"15";"10";"14";"3";"15";"7";"6"
"Bedrijvencentrum Westerkwartier";"8";"5";"8";"6";"6";"8";"5";"6";"2";"4";"1";"4"
"GWL-terrein";"4";"6";"10";"5";"5";"3";"1";"4";"0";"9";"2";"0"
"Markthallen";"0";"0";"3";"1";"2";"3";"0";"1";"0";"0";"2";"0"
"Marcanti";"4";"5";"9";"2";"3";"1";"4";"3";"1";"2";"2";"2"
"Staatsliedenbuurt";"43";"47";"40";"33";"51";"46";"32";"47";"31";"41";"44";"43"
"Westerstaatsman";"11";"7";"6";"6";"12";"10";"2";"10";"9";"8";"13";"5"
"Fannius Scholtenbuurt";"6";"9";"11";"6";"15";"14";"8";"8";"9";"8";"11";"10"
"Staatsliedenbuurt-Noordoost";"3";"6";"4";"6";"2";"7";"4";"6";"2";"4";"5";"4"
"De Wittenbuurt-Noord";"6";"9";"7";"0";"6";"3";"5";"2";"5";"7";"6";"4"
"De Wittenbuurt-Zuid";"3";"3";"3";"3";"3";"2";"6";"8";"3";"5";"4";"6"
"Buyskade e.o.";"14";"13";"9";"12";"13";"10";"7";"13";"3";"9";"5";"14"
"Frederik Hendrikbuurt";"27";"28";"33";"36";"31";"27";"40";"34";"33";"38";"41";"34"
"Frederik Hendrikbuurt-Noord";"6";"11";"16";"11";"13";"11";"19";"16";"6";"12";"12";"13"
"Frederik Hendrikbuurt-Zuidwest";"5";"5";"5";"7";"4";"8";"12";"5";"4";"3";"5";"3"
"Frederik Hendrikbuurt-Zuidoost";"16";"12";"12";"18";"14";"8";"9";"13";"23";"23";"24";"18"
"Van Galenbuurt";"20";"22";"23";"20";"20";"20";"28";"14";"25";"20";"35";"24"
"Mercatorpark";"1";"3";"7";"3";"5";"6";"4";"3";"3";"5";"6";"4"
"Orteliusbuurt-Noord";"6";"6";"3";"2";"2";"5";"1";"0";"5";"2";"8";"2"
"Jan Maijenbuurt";"7";"2";"7";"5";"10";"6";"5";"4";"9";"10";"13";"7"
"John Franklinbuurt";"6";"11";"6";"10";"3";"3";"18";"7";"8";"3";"8";"11"
"Geuzenbuurt";"28";"31";"21";"26";"29";"19";"19";"18";"12";"23";"16";"17"
"Pieter van der Doesbuurt";"9";"9";"5";"10";"12";"8";"8";"6";"5";"8";"10";"4"
"Trompbuurt";"15";"10";"11";"15";"11";"6";"7";"8";"5";"11";"5";"9"
"Geuzenhofbuurt";"4";"12";"5";"1";"6";"5";"4";"4";"2";"4";"1";"4"
"Hoofdweg e.o.";"56";"52";"33";"33";"33";"40";"35";"35";"45";"51";"65";"48"
"Orteliusbuurt-Midden";"17";"7";"4";"7";"7";"6";"7";"3";"4";"5";"9";"11"
"Balboaplein e.o.";"20";"22";"16";"10";"9";"16";"11";"13";"21";"24";"34";"18"
"Orteliusbuurt-Zuid";"7";"9";"3";"5";"2";"4";"5";"7";"5";"7";"8";"5"
"Columbusplein e.o.";"12";"14";"10";"11";"15";"14";"12";"12";"15";"15";"14";"14"
"Chassébuurt";"30";"29";"19";"31";"16";"16";"13";"16";"15";"21";"25";"18"
"Filips van Almondekwartier";"8";"7";"5";"3";"3";"0";"4";"3";"2";"4";"7";"2"
"Kortenaerkwartier";"9";"13";"4";"16";"6";"9";"4";"4";"6";"11";"9";"6"
"Van Brakelkwartier";"5";"6";"6";"4";"6";"2";"2";"1";"5";"3";"4";"3"
"De Wester Quartier";"8";"3";"4";"8";"1";"5";"3";"8";"2";"3";"5";"7"
"Bellamybuurt";"32";"32";"36";"47";"29";"31";"40";"24";"17";"19";"20";"44"
"Bellamybuurt-Noord";"13";"15";"8";"8";"9";"8";"16";"9";"8";"7";"8";"17"
"Bellamybuurt-Zuid";"19";"17";"28";"39";"20";"23";"24";"15";"9";"12";"12";"27"
"Da Costabuurt";"21";"25";"29";"29";"25";"13";"18";"21";"22";"22";"19";"18"
"Da Costabuurt-Noord";"21";"25";"29";"29";"25";"13";"18";"21";"22";"22";"19";"18"
"Westindische Buurt";"25";"22";"26";"28";"25";"53";"86";"30";"18";"23";"12";"13"
"Postjeskade e.o.";"15";"9";"7";"14";"11";"11";"26";"14";"7";"12";"4";"7"
"Paramariboplein e.o.";"10";"13";"19";"14";"14";"42";"60";"16";"11";"11";"8";"6"
