"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.5.2 Winkeldiefstal"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"5345";"4882";"4758";"4530";"4574";"4664";"4867";"5363";"3750";"3291";"4013";"4569"
"Haarlemmerbuurt";"28";"49";"42";"86";"231";"202";"162";"138";"72";"40";"33";"47"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"26";"43";"34";"75";"216";"196";"152";"129";"65";"36";"28";"46"
"Haarlemmerbuurt-Oost";"2";"6";"7";"10";"11";"6";"10";"9";"6";"4";"5";"1"
"Jordaan";"43";"41";"37";"33";"21";"34";"53";"68";"39";"17";"36";"24"
"Marnixbuurt-Noord";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"Anjeliersbuurt-Noord";"4";"3";"19";"11";"7";"11";"8";"6";"2";"0";"2";"1"
"Zaagpoortbuurt";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"14";"13";"4";"4";"3";"6";"9";"4";"6";"0";"5";"5"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"3";"2";"3";"1";"1";"1";"0";"3";"3";"0";"0";"0"
"Groenmarktkadebuurt";"1";"0";"0";"1";"1";"0";"0";"1";"3";"0";"1";"2"
"Marnixbuurt-Zuid";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Elandsgrachtbuurt";"18";"21";"10";"15";"9";"15";"36";"53";"22";"17";"27";"16"
"Passeerdersgrachtbuurt";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Grachtengordel-West";"43";"22";"26";"27";"33";"22";"26";"25";"45";"25";"36";"27"
"Langestraat e.o.";"0";"1";"0";"2";"0";"2";"0";"2";"1";"0";"0";"2"
"Leliegracht e.o.";"3";"2";"3";"8";"8";"5";"3";"8";"1";"3";"12";"5"
"Felix Meritisbuurt";"34";"17";"21";"13";"23";"15";"20";"14";"43";"22";"22";"18"
"Leidsegracht-Noord";"6";"2";"2";"4";"2";"0";"3";"1";"0";"0";"2";"2"
"Burgwallen-Nieuwe Zijde";"1558";"1356";"1247";"1108";"1092";"1237";"1317";"1425";"651";"524";"960";"967"
"Stationsplein e.o.";"88";"133";"155";"208";"272";"242";"268";"364";"108";"61";"149";"161"
"Hemelrijk";"80";"64";"40";"38";"30";"30";"28";"29";"21";"8";"65";"46"
"Nieuwendijk-Noord";"23";"19";"31";"27";"18";"34";"41";"37";"22";"20";"47";"47"
"Spuistraat-Noord";"11";"6";"11";"5";"4";"2";"5";"5";"7";"3";"2";"2"
"Nieuwe Kerk e.o.";"461";"415";"469";"418";"372";"599";"583";"528";"249";"195";"315";"359"
"Spuistraat-Zuid";"523";"430";"230";"76";"119";"106";"135";"182";"83";"99";"93";"72"
"Begijnhofbuurt";"184";"167";"140";"158";"166";"165";"172";"192";"131";"116";"197";"204"
"Kalverdriehoek";"188";"122";"171";"178";"111";"59";"85";"88";"30";"22";"92";"76"
"Burgwallen-Oude Zijde";"241";"230";"197";"192";"206";"221";"266";"303";"133";"109";"198";"217"
"Kop Zeedijk";"1";"6";"1";"3";"4";"6";"4";"3";"3";"4";"2";"3"
"Oude Kerk e.o.";"166";"164";"122";"137";"141";"160";"183";"174";"101";"77";"161";"165"
"Burgwallen-Oost";"64";"53";"65";"42";"55";"45";"18";"17";"13";"19";"29";"38"
"Nes e.o.";"8";"7";"8";"8";"6";"9";"60";"107";"9";"4";"5";"8"
"BG-terrein e.o.";"2";"0";"1";"2";"0";"1";"1";"2";"7";"5";"1";"3"
"Nieuwmarkt/Lastage";"125";"149";"117";"81";"176";"178";"156";"245";"137";"96";"117";"135"
"Oosterdokseiland";"10";"7";"12";"25";"16";"50";"72";"136";"67";"43";"55";"62"
"Lastage";"0";"1";"1";"1";"0";"0";"0";"0";"1";"1";"0";"0"
"Scheepvaarthuisbuurt";"1";"2";"0";"0";"1";"0";"0";"1";"0";"0";"2";"0"
"Rapenburg";"2";"0";"0";"2";"1";"0";"6";"2";"2";"0";"0";"2"
"Nieuwmarkt";"1";"2";"0";"2";"1";"2";"0";"2";"0";"0";"2";"1"
"Uilenburg";"92";"112";"91";"36";"140";"115";"74";"89";"51";"47";"52";"62"
