"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.6.4 Aantasting openbare orde"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"1078";"1037";"1062";"840";"1113";"1578";"1426";"1464";"950";"1554";"1042";"1072"
"Haarlemmerbuurt";"6";"6";"5";"10";"20";"44";"23";"16";"19";"8";"13";"26"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"2"
"Westerdokseiland";"1";"2";"0";"0";"1";"4";"3";"0";"1";"0";"1";"4"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Haarlemmerbuurt-West";"2";"0";"2";"2";"3";"7";"6";"5";"12";"3";"4";"12"
"Haarlemmerbuurt-Oost";"3";"4";"3";"8";"15";"31";"14";"11";"6";"5";"8";"6"
"Jordaan";"12";"7";"11";"7";"7";"10";"18";"17";"15";"20";"22";"15"
"Marnixbuurt-Noord";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1"
"Driehoekbuurt";"1";"1";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0"
"Anjeliersbuurt-Noord";"1";"0";"1";"0";"0";"2";"0";"0";"2";"2";"2";"0"
"Zaagpoortbuurt";"0";"1";"1";"0";"0";"1";"0";"1";"0";"5";"1";"1"
"Anjeliersbuurt-Zuid";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"3";"0"
"Marnixbuurt-Midden";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"2";"1"
"Bloemgrachtbuurt";"2";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0"
"Groenmarktkadebuurt";"1";"1";"2";"1";"1";"1";"0";"1";"2";"1";"2";"1"
"Marnixbuurt-Zuid";"3";"0";"3";"3";"4";"2";"11";"12";"7";"8";"8";"8"
"Elandsgrachtbuurt";"2";"2";"2";"1";"2";"1";"5";"2";"3";"1";"2";"0"
"Passeerdersgrachtbuurt";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"3"
"Grachtengordel-West";"6";"0";"6";"4";"12";"11";"8";"7";"4";"10";"3";"5"
"Langestraat e.o.";"0";"0";"1";"2";"2";"1";"1";"0";"0";"0";"0";"0"
"Leliegracht e.o.";"6";"0";"1";"1";"4";"1";"2";"2";"2";"6";"0";"1"
"Felix Meritisbuurt";"0";"0";"2";"1";"5";"7";"2";"3";"2";"3";"2";"4"
"Leidsegracht-Noord";"0";"0";"2";"0";"1";"2";"3";"2";"0";"1";"1";"0"
"Burgwallen-Nieuwe Zijde";"146";"156";"158";"150";"275";"406";"269";"237";"133";"103";"151";"138"
"Stationsplein e.o.";"29";"26";"32";"47";"60";"119";"110";"49";"44";"34";"57";"58"
"Hemelrijk";"10";"19";"22";"27";"45";"50";"33";"15";"8";"11";"13";"7"
"Nieuwendijk-Noord";"48";"33";"40";"25";"46";"72";"35";"45";"13";"22";"39";"40"
"Spuistraat-Noord";"6";"8";"6";"7";"11";"14";"10";"10";"0";"0";"8";"4"
"Nieuwe Kerk e.o.";"39";"46";"36";"18";"40";"44";"27";"43";"27";"24";"20";"16"
"Spuistraat-Zuid";"3";"4";"6";"5";"15";"27";"19";"17";"9";"6";"6";"7"
"Begijnhofbuurt";"7";"16";"11";"10";"22";"31";"14";"19";"18";"6";"5";"4"
"Kalverdriehoek";"4";"4";"5";"11";"36";"49";"21";"39";"14";"0";"3";"2"
"Burgwallen-Oude Zijde";"317";"366";"377";"229";"304";"452";"395";"320";"150";"93";"178";"178"
"Kop Zeedijk";"48";"39";"63";"31";"46";"75";"83";"70";"24";"7";"29";"40"
"Oude Kerk e.o.";"153";"153";"152";"92";"119";"170";"157";"127";"68";"48";"67";"56"
"Burgwallen-Oost";"98";"154";"140";"91";"117";"166";"126";"112";"48";"33";"62";"68"
"Nes e.o.";"10";"11";"5";"9";"8";"24";"11";"5";"10";"3";"13";"8"
"BG-terrein e.o.";"8";"9";"17";"6";"14";"17";"18";"6";"0";"2";"7";"6"
"Nieuwmarkt/Lastage";"64";"98";"62";"59";"78";"136";"90";"65";"28";"24";"54";"43"
"Oosterdokseiland";"0";"0";"0";"2";"0";"2";"8";"8";"1";"0";"8";"3"
"Lastage";"0";"2";"0";"2";"2";"7";"9";"6";"2";"1";"1";"3"
"Scheepvaarthuisbuurt";"1";"3";"2";"0";"1";"4";"0";"3";"0";"1";"2";"7"
"Rapenburg";"1";"0";"0";"1";"1";"2";"2";"0";"1";"0";"1";"2"
"Nieuwmarkt";"16";"23";"15";"14";"16";"38";"23";"18";"7";"7";"8";"13"
"Uilenburg";"5";"9";"4";"5";"4";"9";"16";"6";"5";"8";"10";"4"
"Valkenburg";"0";"2";"0";"1";"0";"1";"1";"3";"0";"0";"0";"1"
"Zuiderkerkbuurt";"17";"27";"17";"19";"43";"57";"12";"11";"6";"3";"7";"5"
"Waterloopleinbuurt";"24";"32";"24";"15";"11";"16";"19";"10";"6";"4";"17";"5"
"Grachtengordel-Zuid";"35";"27";"46";"41";"41";"108";"110";"100";"35";"35";"62";"35"
"Leidsegracht-Zuid";"1";"2";"2";"1";"4";"10";"8";"17";"2";"0";"5";"4"
"Geelvinckbuurt";"2";"4";"5";"2";"3";"20";"54";"28";"3";"4";"6";"1"
"Rembrandtplein e.o.";"22";"17";"35";"32";"24";"69";"39";"42";"23";"27";"48";"26"
"Spiegelbuurt";"2";"3";"3";"1";"6";"5";"4";"8";"6";"2";"0";"2"
"Vijzelstraatbuurt";"5";"0";"0";"2";"2";"3";"4";"4";"0";"1";"2";"1"
"Amstelveldbuurt";"3";"1";"1";"3";"2";"1";"1";"1";"1";"1";"1";"1"
"De Weteringschans";"42";"39";"24";"20";"30";"52";"60";"67";"32";"41";"38";"44"
"Leidsebuurt-Noordwest";"10";"5";"3";"7";"6";"9";"8";"15";"6";"3";"3";"12"
"Leidsebuurt-Noordoost";"22";"19";"15";"10";"17";"26";"33";"25";"14";"6";"18";"21"
"Weteringbuurt";"2";"2";"0";"0";"0";"0";"0";"1";"1";"3";"1";"1"
"Utrechtsebuurt-Zuid";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidwest";"2";"8";"3";"2";"4";"7";"3";"13";"4";"2";"11";"8"
"Leidsebuurt-Zuidoost";"4";"4";"1";"1";"0";"9";"15";"12";"3";"2";"2";"2"
"Den Texbuurt";"0";"0";"1";"0";"2";"0";"0";"0";"2";"25";"2";"0"
"Frederikspleinbuurt";"2";"0";"1";"0";"1";"1";"1";"1";"2";"0";"1";"0"
"Weesperbuurt/Plantage";"9";"3";"3";"4";"2";"9";"10";"6";"3";"5";"6";"2"
"Weesperbuurt";"5";"1";"1";"1";"0";"3";"8";"5";"0";"0";"2";"2"
"Plantage";"1";"0";"0";"0";"2";"0";"0";"0";"1";"1";"2";"0"
"Sarphatistrook";"3";"2";"2";"3";"0";"6";"2";"0";"1";"4";"2";"0"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"5";"5";"1";"3";"1";"3";"8";"2";"4";"7";"7";"9"
"Marine-Etablissement";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0"
"Kattenburg";"1";"1";"0";"0";"0";"0";"0";"1";"2";"1";"1";"2"
"Wittenburg";"0";"1";"0";"1";"0";"2";"5";"0";"1";"0";"1";"1"
"Oostenburg";"0";"0";"1";"0";"0";"1";"2";"0";"0";"1";"2";"1"
"Czaar Peterbuurt";"0";"0";"0";"0";"0";"0";"0";"1";"0";"4";"1";"0"
"Het Funen";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Kadijken";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3"
"Kazernebuurt";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2"
"Havens-West";"0";"4";"1";"2";"1";"1";"1";"3";"2";"0";"12";"8"
"Afrikahaven";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"2"
"Amerikahaven";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"6";"2"
"Westhaven-Noord";"0";"1";"1";"2";"1";"0";"0";"1";"2";"0";"2";"4"
"Petroleumhaven";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Coenhaven/Minervahaven";"0";"0";"0";"2";"0";"0";"2";"2";"0";"1";"1";"0"
"Coenhaven";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
