"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.7.1 Discriminatie"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"62";"53";"126";"57";"75";"51";"53";"61";"55";"99";"64";"101"
"Haarlemmerbuurt";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"1";"0"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Haarlemmerbuurt-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-Oost";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0"
"Jordaan";"1";"1";"4";"0";"2";"1";"2";"1";"1";"1";"3";"0"
"Marnixbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Zaagpoortbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groenmarktkadebuurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marnixbuurt-Zuid";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Elandsgrachtbuurt";"0";"0";"1";"0";"1";"0";"1";"1";"0";"1";"2";"0"
"Passeerdersgrachtbuurt";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-West";"0";"1";"4";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"Langestraat e.o.";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leliegracht e.o.";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Felix Meritisbuurt";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Leidsegracht-Noord";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Nieuwe Zijde";"3";"3";"3";"2";"7";"1";"3";"2";"5";"6";"5";"8"
"Stationsplein e.o.";"0";"0";"1";"2";"3";"1";"0";"1";"0";"3";"1";"3"
"Hemelrijk";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Nieuwendijk-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1"
"Spuistraat-Noord";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Nieuwe Kerk e.o.";"0";"1";"1";"0";"2";"0";"0";"1";"4";"1";"1";"1"
"Spuistraat-Zuid";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Begijnhofbuurt";"1";"0";"0";"0";"1";"0";"2";"0";"0";"1";"1";"3"
"Kalverdriehoek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Oude Zijde";"1";"3";"5";"0";"4";"2";"1";"2";"7";"5";"8";"25"
"Kop Zeedijk";"0";"1";"1";"0";"1";"0";"0";"1";"1";"0";"1";"0"
"Oude Kerk e.o.";"1";"1";"4";"0";"2";"2";"0";"1";"4";"4";"6";"24"
"Burgwallen-Oost";"0";"1";"0";"0";"0";"0";"1";"0";"2";"1";"1";"0"
"Nes e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"BG-terrein e.o.";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Nieuwmarkt/Lastage";"2";"0";"1";"3";"7";"1";"1";"4";"0";"1";"3";"5"
"Oosterdokseiland";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Lastage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Scheepvaarthuisbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Rapenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
