"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.9.1 Horizontale fraude"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"1486";"901";"709";"3021";"4575";"4680";"4832";"5650";"7164";"6682";"4929";"5060"
"Haarlemmerbuurt";"9";"8";"13";"37";"52";"60";"61";"64";"96";"48";"44";"53"
"Planciusbuurt-Noord";"0";"1";"0";"1";"3";"2";"2";"3";"4";"1";"0";"3"
"Westelijke eilanden";"2";"2";"1";"11";"9";"19";"13";"16";"20";"15";"11";"21"
"Westerdokseiland";"3";"2";"0";"9";"9";"21";"16";"14";"33";"9";"12";"9"
"Planciusbuurt-Zuid";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0"
"Haarlemmerbuurt-West";"0";"1";"3";"8";"17";"10";"12";"18";"25";"14";"12";"13"
"Haarlemmerbuurt-Oost";"3";"2";"9";"8";"14";"7";"18";"12";"13";"9";"9";"7"
"Jordaan";"44";"15";"14";"63";"95";"102";"120";"115";"168";"126";"74";"108"
"Marnixbuurt-Noord";"1";"0";"1";"7";"5";"8";"12";"4";"11";"7";"8";"7"
"Driehoekbuurt";"1";"1";"1";"7";"10";"10";"20";"10";"22";"12";"10";"5"
"Anjeliersbuurt-Noord";"9";"1";"2";"6";"8";"3";"10";"14";"15";"14";"7";"9"
"Zaagpoortbuurt";"0";"0";"0";"2";"6";"5";"4";"5";"5";"7";"3";"6"
"Anjeliersbuurt-Zuid";"17";"5";"3";"8";"12";"16";"13";"13";"26";"13";"12";"12"
"Marnixbuurt-Midden";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"2"
"Bloemgrachtbuurt";"2";"2";"1";"8";"17";"15";"16";"15";"18";"20";"14";"27"
"Groenmarktkadebuurt";"1";"0";"0";"1";"5";"2";"2";"4";"11";"4";"1";"4"
"Marnixbuurt-Zuid";"3";"4";"5";"4";"5";"11";"5";"9";"4";"4";"4";"6"
"Elandsgrachtbuurt";"7";"2";"1";"16";"20";"26";"30";"38";"51";"42";"9";"26"
"Passeerdersgrachtbuurt";"3";"0";"0";"3";"5";"6";"8";"3";"5";"3";"6";"4"
"Grachtengordel-West";"18";"7";"12";"34";"64";"50";"48";"71";"81";"59";"34";"39"
"Langestraat e.o.";"4";"1";"8";"10";"18";"11";"4";"11";"10";"10";"7";"5"
"Leliegracht e.o.";"8";"2";"2";"2";"11";"10";"19";"15";"14";"12";"8";"16"
"Felix Meritisbuurt";"6";"3";"2";"18";"26";"23";"22";"34";"37";"24";"12";"14"
"Leidsegracht-Noord";"0";"1";"0";"4";"9";"6";"3";"11";"20";"13";"7";"4"
"Burgwallen-Nieuwe Zijde";"42";"23";"14";"65";"100";"101";"125";"119";"96";"83";"79";"57"
"Stationsplein e.o.";"6";"12";"4";"17";"17";"15";"27";"26";"20";"15";"12";"14"
"Hemelrijk";"4";"1";"2";"6";"10";"8";"11";"14";"14";"3";"10";"3"
"Nieuwendijk-Noord";"11";"5";"2";"6";"16";"12";"21";"19";"10";"9";"14";"6"
"Spuistraat-Noord";"1";"0";"0";"2";"2";"8";"13";"10";"5";"16";"8";"4"
"Nieuwe Kerk e.o.";"6";"3";"4";"11";"31";"23";"24";"15";"17";"9";"18";"11"
"Spuistraat-Zuid";"0";"0";"1";"6";"4";"7";"7";"11";"11";"15";"7";"5"
"Begijnhofbuurt";"12";"1";"1";"10";"18";"17";"18";"13";"12";"8";"7";"9"
"Kalverdriehoek";"2";"1";"0";"7";"2";"11";"4";"11";"7";"8";"3";"5"
"Burgwallen-Oude Zijde";"19";"12";"10";"39";"63";"67";"72";"66";"72";"58";"56";"58"
"Kop Zeedijk";"6";"2";"1";"8";"10";"13";"8";"12";"12";"7";"7";"10"
"Oude Kerk e.o.";"8";"6";"6";"16";"23";"19";"23";"19";"22";"18";"20";"24"
"Burgwallen-Oost";"2";"3";"1";"9";"9";"13";"19";"15";"24";"21";"15";"12"
"Nes e.o.";"3";"1";"1";"4";"8";"8";"10";"11";"5";"7";"4";"4"
"BG-terrein e.o.";"0";"0";"1";"2";"13";"14";"12";"9";"9";"5";"10";"8"
"Nieuwmarkt/Lastage";"21";"11";"25";"48";"94";"69";"88";"89";"102";"62";"55";"78"
"Oosterdokseiland";"0";"0";"1";"7";"9";"8";"13";"7";"6";"5";"7";"19"
"Lastage";"3";"1";"4";"3";"13";"5";"15";"10";"8";"6";"8";"4"
"Scheepvaarthuisbuurt";"1";"1";"1";"4";"5";"10";"9";"11";"12";"5";"5";"6"
"Rapenburg";"3";"1";"3";"8";"6";"3";"7";"7";"9";"1";"3";"5"
"Nieuwmarkt";"2";"0";"0";"5";"14";"8";"8";"9";"21";"9";"8";"6"
"Uilenburg";"3";"0";"1";"4";"6";"9";"15";"12";"14";"10";"6";"7"
"Valkenburg";"4";"2";"2";"4";"4";"3";"2";"5";"10";"4";"2";"6"
"Zuiderkerkbuurt";"1";"1";"3";"4";"13";"11";"9";"10";"15";"13";"12";"14"
"Waterloopleinbuurt";"4";"5";"10";"9";"24";"12";"10";"18";"7";"9";"4";"11"
"Grachtengordel-Zuid";"40";"13";"10";"35";"63";"68";"51";"86";"50";"47";"44";"47"
"Leidsegracht-Zuid";"6";"3";"1";"4";"17";"9";"8";"5";"5";"9";"4";"6"
"Geelvinckbuurt";"12";"1";"1";"5";"9";"11";"6";"9";"3";"6";"8";"4"
"Rembrandtplein e.o.";"8";"4";"1";"15";"18";"18";"19";"31";"13";"8";"8";"10"
"Spiegelbuurt";"4";"0";"1";"3";"3";"7";"6";"11";"3";"6";"7";"9"
"Vijzelstraatbuurt";"2";"4";"2";"1";"11";"11";"4";"10";"8";"12";"8";"10"
"Amstelveldbuurt";"8";"1";"4";"7";"5";"12";"8";"20";"18";"6";"9";"8"
"De Weteringschans";"21";"31";"15";"57";"54";"77";"70";"100";"59";"58";"46";"35"
"Leidsebuurt-Noordwest";"1";"2";"1";"5";"10";"8";"8";"9";"3";"0";"7";"3"
"Leidsebuurt-Noordoost";"4";"9";"4";"9";"7";"17";"25";"23";"14";"13";"11";"4"
"Weteringbuurt";"3";"1";"1";"9";"10";"18";"9";"17";"13";"11";"16";"10"
"Utrechtsebuurt-Zuid";"9";"0";"1";"6";"3";"5";"5";"12";"6";"8";"2";"3"
"Leidsebuurt-Zuidwest";"3";"5";"2";"4";"3";"4";"4";"7";"1";"3";"2";"2"
"Leidsebuurt-Zuidoost";"0";"9";"1";"15";"10";"11";"4";"14";"4";"5";"3";"0"
"Den Texbuurt";"1";"4";"1";"2";"2";"6";"9";"10";"10";"10";"2";"3"
"Frederikspleinbuurt";"0";"1";"4";"7";"9";"8";"6";"8";"8";"8";"3";"10"
"Weesperbuurt/Plantage";"18";"6";"11";"28";"42";"54";"45";"40";"64";"53";"41";"45"
"Weesperbuurt";"11";"3";"4";"15";"17";"17";"21";"18";"15";"23";"17";"23"
"Plantage";"3";"0";"6";"5";"8";"9";"10";"10";"14";"14";"12";"17"
"Sarphatistrook";"4";"3";"1";"7";"14";"24";"11";"12";"31";"12";"10";"3"
"Alexanderplein e.o.";"0";"0";"0";"1";"3";"4";"3";"0";"4";"4";"2";"2"
"Oostelijke Eilanden/Kadijken";"17";"9";"4";"45";"62";"76";"64";"45";"108";"87";"62";"87"
"Marine-Etablissement";"0";"0";"0";"0";"0";"2";"1";"0";"2";"1";"3";"1"
"Kattenburg";"0";"3";"1";"4";"10";"14";"5";"5";"7";"11";"3";"6"
"Wittenburg";"3";"0";"0";"11";"7";"6";"10";"4";"21";"18";"18";"17"
"Oostenburg";"2";"1";"0";"4";"9";"8";"11";"4";"17";"7";"11";"16"
"Czaar Peterbuurt";"2";"2";"0";"5";"8";"10";"11";"7";"12";"14";"7";"17"
"Het Funen";"1";"0";"0";"5";"7";"5";"5";"5";"13";"5";"6";"4"
"Kadijken";"6";"3";"2";"11";"15";"16";"12";"15";"32";"23";"7";"22"
"Kazernebuurt";"3";"0";"1";"5";"6";"15";"9";"5";"4";"8";"7";"4"
"Havens-West";"4";"1";"4";"4";"8";"10";"10";"11";"9";"8";"7";"6"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Amerikahaven";"3";"1";"3";"1";"2";"2";"3";"6";"2";"1";"1";"1"
"Westhaven-Noord";"0";"0";"0";"1";"0";"1";"2";"3";"2";"2";"2";"2"
"Petroleumhaven";"0";"0";"0";"1";"2";"0";"1";"0";"1";"0";"1";"0"
"Vervoerscentrum";"1";"0";"0";"0";"2";"2";"3";"0";"0";"5";"0";"2"
