"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.1.1 Diefstal/inbraak woning"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"6006";"6647";"5572";"5223";"4426";"4598";"3553";"3427";"2429";"1763";"1732";"1781"
"Haarlemmerbuurt";"58";"62";"42";"39";"34";"37";"21";"43";"38";"22";"27";"21"
"Planciusbuurt-Noord";"2";"3";"2";"2";"2";"2";"2";"2";"6";"0";"0";"1"
"Westelijke eilanden";"29";"19";"14";"13";"5";"14";"10";"7";"10";"7";"6";"7"
"Westerdokseiland";"6";"9";"4";"3";"5";"2";"1";"2";"4";"3";"5";"3"
"Planciusbuurt-Zuid";"0";"1";"0";"1";"2";"1";"0";"1";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"14";"24";"13";"12";"10";"10";"4";"14";"7";"7";"10";"7"
"Haarlemmerbuurt-Oost";"7";"6";"9";"8";"10";"8";"4";"17";"11";"5";"6";"3"
"Jordaan";"134";"99";"102";"129";"74";"98";"80";"119";"115";"55";"62";"58"
"Marnixbuurt-Noord";"14";"5";"11";"12";"6";"3";"4";"15";"6";"2";"4";"2"
"Driehoekbuurt";"21";"14";"12";"29";"4";"8";"7";"12";"12";"10";"7";"5"
"Anjeliersbuurt-Noord";"11";"12";"7";"8";"8";"11";"9";"11";"13";"5";"2";"5"
"Zaagpoortbuurt";"8";"6";"6";"6";"9";"10";"7";"8";"8";"3";"2";"2"
"Anjeliersbuurt-Zuid";"20";"10";"14";"18";"11";"13";"10";"15";"18";"5";"14";"8"
"Marnixbuurt-Midden";"1";"0";"2";"1";"0";"0";"1";"0";"4";"1";"0";"2"
"Bloemgrachtbuurt";"23";"18";"17";"23";"13";"19";"17";"26";"15";"8";"10";"16"
"Groenmarktkadebuurt";"4";"2";"5";"3";"1";"3";"6";"7";"8";"3";"3";"1"
"Marnixbuurt-Zuid";"1";"3";"3";"0";"5";"6";"5";"5";"4";"1";"3";"1"
"Elandsgrachtbuurt";"25";"23";"19";"25";"12";"22";"14";"16";"21";"13";"10";"14"
"Passeerdersgrachtbuurt";"6";"6";"6";"4";"5";"3";"0";"4";"6";"4";"7";"2"
"Grachtengordel-West";"51";"41";"62";"65";"64";"30";"22";"50";"34";"24";"41";"34"
"Langestraat e.o.";"17";"11";"20";"19";"23";"13";"7";"17";"7";"8";"16";"14"
"Leliegracht e.o.";"17";"12";"19";"20";"19";"4";"4";"9";"11";"5";"7";"5"
"Felix Meritisbuurt";"14";"15";"20";"18";"14";"8";"6";"16";"9";"8";"16";"13"
"Leidsegracht-Noord";"3";"3";"3";"8";"8";"5";"5";"8";"7";"3";"2";"2"
"Burgwallen-Nieuwe Zijde";"58";"49";"18";"36";"20";"19";"22";"19";"23";"24";"21";"16"
"Stationsplein e.o.";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Hemelrijk";"9";"11";"5";"3";"2";"2";"4";"1";"5";"7";"3";"4"
"Nieuwendijk-Noord";"8";"4";"4";"3";"1";"3";"4";"3";"3";"1";"1";"1"
"Spuistraat-Noord";"13";"17";"0";"10";"5";"2";"4";"4";"5";"4";"3";"6"
