"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.1.2 Diefstal/inbraak box/garage/schuur"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"1344";"1457";"1153";"1089";"979";"919";"783";"798";"892";"592";"464";"505"
"Haarlemmerbuurt";"6";"3";"21";"8";"8";"2";"2";"1";"3";"4";"2";"9"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2"
"Westelijke eilanden";"1";"0";"2";"2";"1";"0";"0";"0";"1";"1";"0";"2"
"Westerdokseiland";"0";"2";"16";"3";"7";"1";"0";"1";"1";"1";"0";"1"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"2";"1";"1";"1";"0";"1";"1";"0";"1";"0";"2";"3"
"Haarlemmerbuurt-Oost";"3";"0";"2";"2";"0";"0";"0";"0";"0";"2";"0";"1"
"Jordaan";"3";"8";"9";"12";"14";"11";"8";"5";"5";"7";"3";"6"
"Marnixbuurt-Noord";"0";"1";"1";"1";"4";"3";"2";"1";"0";"2";"0";"0"
"Driehoekbuurt";"1";"4";"1";"0";"3";"1";"0";"0";"0";"1";"1";"0"
"Anjeliersbuurt-Noord";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"Zaagpoortbuurt";"1";"2";"0";"4";"1";"1";"1";"0";"2";"1";"1";"2"
"Anjeliersbuurt-Zuid";"0";"1";"2";"0";"1";"0";"2";"0";"0";"1";"1";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
