"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.1 Diefstal uit/vanaf motorvoertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"10227";"10522";"9657";"10009";"9190";"8695";"7627";"6396";"6061";"5211";"6299";"6872"
"Haarlemmerbuurt";"71";"78";"88";"155";"88";"78";"62";"69";"44";"42";"49";"66"
"Planciusbuurt-Noord";"1";"0";"2";"2";"0";"0";"2";"1";"0";"1";"0";"1"
"Westelijke eilanden";"10";"9";"7";"14";"4";"6";"12";"10";"11";"8";"4";"4"
"Westerdokseiland";"13";"21";"28";"29";"18";"22";"13";"17";"13";"4";"8";"8"
"Planciusbuurt-Zuid";"0";"3";"0";"1";"0";"1";"0";"2";"0";"2";"1";"3"
"Haarlemmerbuurt-West";"20";"21";"20";"43";"25";"16";"11";"8";"4";"12";"10";"15"
"Haarlemmerbuurt-Oost";"27";"24";"31";"66";"41";"33";"24";"31";"16";"15";"26";"35"
"Jordaan";"128";"163";"228";"201";"149";"152";"84";"60";"70";"70";"66";"64"
"Marnixbuurt-Noord";"6";"7";"5";"14";"8";"4";"4";"8";"4";"6";"6";"7"
"Driehoekbuurt";"8";"4";"5";"10";"3";"6";"5";"3";"6";"6";"4";"5"
"Anjeliersbuurt-Noord";"5";"6";"13";"5";"6";"5";"6";"6";"6";"7";"5";"5"
"Zaagpoortbuurt";"3";"6";"7";"3";"4";"2";"3";"1";"2";"7";"3";"2"
"Anjeliersbuurt-Zuid";"14";"9";"8";"1";"11";"9";"8";"1";"4";"7";"3";"3"
"Marnixbuurt-Midden";"0";"1";"0";"0";"2";"0";"1";"1";"1";"0";"1";"0"
"Bloemgrachtbuurt";"8";"11";"10";"16";"10";"4";"0";"5";"7";"7";"8";"3"
"Groenmarktkadebuurt";"41";"71";"103";"94";"68";"87";"13";"11";"5";"9";"3";"5"
"Marnixbuurt-Zuid";"7";"14";"25";"14";"15";"12";"15";"7";"3";"2";"3";"7"
"Elandsgrachtbuurt";"24";"21";"34";"33";"17";"13";"13";"11";"22";"14";"14";"14"
"Passeerdersgrachtbuurt";"12";"13";"18";"11";"5";"10";"16";"6";"10";"5";"16";"13"
"Grachtengordel-West";"190";"182";"248";"233";"231";"195";"209";"180";"118";"73";"165";"201"
"Langestraat e.o.";"27";"26";"30";"43";"54";"36";"46";"47";"19";"12";"17";"16"
"Leliegracht e.o.";"41";"30";"44";"57";"56";"42";"55";"56";"37";"24";"29";"63"
"Felix Meritisbuurt";"94";"105";"151";"105";"99";"90";"80";"61";"48";"34";"84";"83"
"Leidsegracht-Noord";"28";"21";"23";"28";"22";"27";"28";"16";"14";"3";"35";"39"
"Burgwallen-Nieuwe Zijde";"103";"188";"251";"269";"232";"175";"271";"206";"150";"108";"136";"156"
"Stationsplein e.o.";"1";"3";"4";"3";"4";"6";"5";"4";"4";"4";"2";"5"
"Hemelrijk";"17";"30";"44";"58";"40";"22";"37";"48";"33";"48";"21";"20"
"Nieuwendijk-Noord";"29";"73";"101";"93";"99";"53";"110";"36";"2";"7";"9";"5"
"Spuistraat-Noord";"15";"23";"29";"34";"25";"29";"34";"36";"45";"21";"22";"44"
"Nieuwe Kerk e.o.";"8";"18";"17";"22";"15";"12";"12";"7";"5";"3";"2";"3"
"Spuistraat-Zuid";"31";"33";"46";"48";"34";"45";"56";"50";"47";"20";"75";"75"
"Begijnhofbuurt";"1";"7";"8";"6";"9";"6";"14";"19";"11";"5";"3";"2"
"Kalverdriehoek";"1";"1";"2";"5";"6";"2";"3";"6";"3";"0";"2";"2"
"Burgwallen-Oude Zijde";"57";"95";"80";"164";"202";"197";"201";"121";"50";"45";"45";"44"
"Kop Zeedijk";"12";"4";"8";"10";"10";"7";"5";"12";"6";"7";"1";"3"
"Oude Kerk e.o.";"16";"60";"42";"113";"147";"157";"166";"86";"18";"20";"7";"17"
"Burgwallen-Oost";"9";"5";"5";"9";"13";"13";"7";"8";"9";"8";"12";"6"
"Nes e.o.";"5";"5";"3";"7";"3";"6";"2";"2";"2";"2";"8";"4"
"BG-terrein e.o.";"15";"21";"22";"25";"29";"14";"21";"13";"15";"8";"17";"14"
"Nieuwmarkt/Lastage";"267";"289";"457";"393";"317";"279";"513";"438";"196";"181";"382";"362"
"Oosterdokseiland";"19";"94";"137";"97";"77";"42";"138";"108";"44";"17";"15";"29"
"Lastage";"55";"23";"62";"49";"48";"32";"52";"54";"20";"21";"56";"32"
"Scheepvaarthuisbuurt";"36";"30";"58";"61";"39";"31";"59";"49";"20";"20";"67";"51"
"Rapenburg";"25";"24";"69";"78";"40";"41";"41";"20";"10";"15";"34";"20"
"Nieuwmarkt";"14";"3";"16";"13";"10";"9";"14";"9";"10";"4";"10";"15"
"Uilenburg";"23";"15";"23";"19";"30";"17";"38";"29";"12";"11";"31";"37"
"Valkenburg";"13";"7";"8";"4";"9";"5";"9";"9";"2";"2";"4";"1"
"Zuiderkerkbuurt";"17";"11";"9";"22";"18";"21";"33";"28";"9";"5";"35";"18"
"Waterloopleinbuurt";"65";"82";"75";"50";"46";"81";"129";"132";"69";"86";"130";"159"
"Grachtengordel-Zuid";"164";"232";"261";"225";"272";"282";"316";"185";"128";"72";"301";"316"
"Leidsegracht-Zuid";"9";"14";"11";"22";"21";"20";"23";"20";"14";"7";"46";"39"
"Geelvinckbuurt";"24";"39";"41";"40";"29";"64";"48";"48";"32";"17";"62";"58"
