"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.2 Diefstal van motorvoertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"1907";"2055";"1906";"1734";"1611";"1853";"1932";"1845";"1550";"1319";"1252";"1400"
"Haarlemmerbuurt";"11";"15";"29";"24";"15";"15";"17";"17";"10";"10";"5";"7"
"Planciusbuurt-Noord";"0";"0";"0";"2";"0";"0";"2";"0";"0";"1";"0";"1"
"Westelijke eilanden";"2";"5";"9";"5";"3";"2";"5";"4";"2";"3";"0";"3"
"Westerdokseiland";"1";"2";"9";"9";"4";"0";"1";"7";"2";"2";"3";"2"
"Planciusbuurt-Zuid";"1";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"3";"3";"6";"5";"4";"8";"4";"2";"5";"1";"2";"0"
"Haarlemmerbuurt-Oost";"4";"5";"3";"3";"4";"5";"3";"4";"1";"3";"0";"1"
"Jordaan";"26";"29";"42";"21";"19";"20";"19";"21";"23";"22";"16";"16"
"Marnixbuurt-Noord";"3";"2";"7";"0";"5";"2";"3";"4";"1";"1";"1";"1"
"Driehoekbuurt";"5";"4";"7";"5";"0";"2";"2";"2";"3";"3";"1";"2"
"Anjeliersbuurt-Noord";"3";"4";"3";"4";"3";"2";"5";"3";"3";"3";"2";"1"
"Zaagpoortbuurt";"1";"0";"1";"0";"2";"3";"2";"2";"2";"3";"1";"1"
"Anjeliersbuurt-Zuid";"1";"3";"10";"2";"4";"2";"2";"3";"3";"2";"3";"3"
"Marnixbuurt-Midden";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"2";"3";"2";"0";"0";"2";"1";"2";"2";"0";"0"
"Groenmarktkadebuurt";"2";"1";"0";"0";"0";"4";"0";"0";"1";"0";"1";"0"
"Marnixbuurt-Zuid";"3";"2";"0";"0";"2";"3";"1";"0";"1";"1";"0";"1"
"Elandsgrachtbuurt";"5";"9";"6";"5";"2";"1";"2";"6";"6";"3";"5";"5"
"Passeerdersgrachtbuurt";"3";"2";"2";"3";"1";"0";"0";"0";"1";"4";"2";"2"
"Grachtengordel-West";"18";"27";"14";"19";"18";"16";"21";"17";"28";"9";"11";"6"
"Langestraat e.o.";"6";"6";"4";"4";"5";"3";"7";"6";"4";"0";"1";"2"
"Leliegracht e.o.";"5";"8";"3";"3";"5";"4";"3";"4";"5";"4";"3";"1"
"Felix Meritisbuurt";"6";"9";"4";"9";"4";"8";"7";"4";"14";"5";"3";"3"
"Leidsegracht-Noord";"1";"4";"3";"3";"4";"1";"4";"3";"5";"0";"4";"0"
