"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.2 Moord, doodslag"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"368";"368";"350";"334";"300";"266";"272";"285";"288";"279";"321";"303"
"Haarlemmerbuurt";"5";"6";"2";"1";"4";"2";"1";"2";"1";"4";"2";"6"
"Planciusbuurt-Noord";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Westelijke eilanden";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Westerdokseiland";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"3";"0";"2";"1";"3";"1";"0";"1";"0";"0";"1";"5"
"Haarlemmerbuurt-Oost";"0";"2";"0";"0";"1";"1";"1";"0";"1";"2";"1";"0"
"Jordaan";"8";"10";"6";"7";"7";"3";"4";"7";"4";"4";"6";"3"
"Marnixbuurt-Noord";"1";"1";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"4";"1";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Zaagpoortbuurt";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Marnixbuurt-Midden";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0"
"Groenmarktkadebuurt";"1";"0";"2";"2";"1";"1";"1";"0";"1";"0";"1";"0"
"Marnixbuurt-Zuid";"0";"1";"2";"0";"2";"1";"0";"2";"0";"3";"1";"0"
"Elandsgrachtbuurt";"1";"2";"1";"0";"3";"1";"0";"1";"2";"0";"2";"2"
"Passeerdersgrachtbuurt";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-West";"3";"1";"0";"1";"3";"1";"2";"1";"0";"2";"2";"2"
"Langestraat e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2"
"Leliegracht e.o.";"1";"0";"0";"0";"1";"0";"2";"1";"0";"1";"1";"0"
"Felix Meritisbuurt";"1";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0"
"Leidsegracht-Noord";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Nieuwe Zijde";"9";"16";"7";"11";"11";"14";"13";"13";"5";"8";"19";"14"
"Stationsplein e.o.";"1";"3";"0";"3";"4";"4";"5";"5";"1";"3";"6";"2"
"Hemelrijk";"2";"1";"1";"4";"0";"3";"5";"1";"1";"2";"3";"1"
"Nieuwendijk-Noord";"1";"3";"1";"0";"3";"3";"0";"2";"0";"2";"2";"1"
"Spuistraat-Noord";"0";"2";"1";"0";"1";"1";"1";"1";"0";"1";"2";"4"
"Nieuwe Kerk e.o.";"1";"1";"2";"1";"0";"2";"0";"1";"0";"0";"1";"2"
"Spuistraat-Zuid";"1";"0";"1";"2";"2";"1";"1";"0";"1";"0";"0";"0"
"Begijnhofbuurt";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"4";"2"
"Kalverdriehoek";"2";"2";"1";"1";"1";"0";"0";"2";"2";"0";"1";"2"
"Burgwallen-Oude Zijde";"8";"15";"9";"10";"11";"8";"3";"7";"11";"6";"14";"13"
"Kop Zeedijk";"1";"2";"3";"3";"1";"2";"0";"0";"1";"1";"3";"3"
"Oude Kerk e.o.";"4";"10";"1";"2";"2";"2";"1";"4";"5";"3";"6";"3"
"Burgwallen-Oost";"2";"2";"2";"3";"6";"3";"2";"1";"3";"2";"4";"5"
"Nes e.o.";"1";"0";"1";"1";"0";"1";"0";"1";"1";"0";"0";"2"
"BG-terrein e.o.";"0";"1";"2";"1";"2";"0";"0";"1";"1";"0";"1";"0"
"Nieuwmarkt/Lastage";"1";"3";"8";"0";"1";"5";"4";"5";"1";"5";"7";"4"
"Oosterdokseiland";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"0"
"Lastage";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1"
"Scheepvaarthuisbuurt";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"1"
"Rapenburg";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Nieuwmarkt";"0";"1";"2";"0";"0";"1";"2";"0";"0";"1";"2";"0"
"Uilenburg";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Valkenburg";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Zuiderkerkbuurt";"0";"0";"2";"0";"1";"0";"0";"1";"1";"1";"0";"1"
"Waterloopleinbuurt";"1";"1";"1";"0";"0";"1";"0";"1";"0";"1";"2";"0"
"Grachtengordel-Zuid";"10";"10";"9";"9";"13";"6";"4";"6";"3";"3";"8";"15"
"Leidsegracht-Zuid";"0";"1";"1";"1";"0";"1";"0";"2";"1";"1";"2";"3"
"Geelvinckbuurt";"0";"2";"0";"3";"1";"0";"0";"0";"0";"0";"0";"1"
"Rembrandtplein e.o.";"9";"6";"4";"5";"10";"4";"2";"3";"1";"0";"4";"6"
"Spiegelbuurt";"0";"1";"2";"0";"0";"0";"1";"0";"0";"1";"0";"1"
"Vijzelstraatbuurt";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Amstelveldbuurt";"1";"0";"1";"0";"2";"1";"0";"1";"0";"1";"2";"4"
"De Weteringschans";"9";"11";"8";"4";"9";"12";"5";"6";"4";"5";"11";"7"
"Leidsebuurt-Noordwest";"2";"4";"1";"0";"1";"0";"0";"0";"0";"2";"4";"0"
"Leidsebuurt-Noordoost";"3";"6";"2";"1";"4";"8";"4";"0";"3";"1";"4";"5"
"Weteringbuurt";"0";"0";"1";"1";"1";"0";"0";"1";"0";"2";"1";"0"
"Utrechtsebuurt-Zuid";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Leidsebuurt-Zuidwest";"1";"1";"1";"0";"1";"2";"1";"1";"0";"0";"1";"1"
"Leidsebuurt-Zuidoost";"2";"0";"2";"2";"1";"0";"0";"1";"0";"0";"0";"1"
"Den Texbuurt";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0"
"Frederikspleinbuurt";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
"Weesperbuurt/Plantage";"0";"0";"3";"6";"6";"1";"2";"2";"3";"0";"0";"1"
"Weesperbuurt";"0";"0";"1";"3";"1";"1";"0";"1";"1";"0";"0";"1"
"Plantage";"0";"0";"2";"2";"0";"0";"1";"0";"2";"0";"0";"0"
"Sarphatistrook";"0";"0";"0";"1";"5";"0";"1";"1";"0";"0";"0";"0"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"2";"3";"4";"2";"7";"2";"2";"1";"4";"5";"4";"0"
"Marine-Etablissement";"0";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Kattenburg";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Wittenburg";"0";"1";"1";"2";"3";"0";"1";"0";"1";"0";"0";"0"
"Oostenburg";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0"
"Czaar Peterbuurt";"2";"1";"2";"0";"2";"0";"0";"0";"2";"1";"1";"0"
"Het Funen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Kadijken";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"0"
"Kazernebuurt";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Havens-West";"0";"2";"0";"1";"1";"2";"2";"1";"1";"2";"3";"1"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Amerikahaven";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1"
"Vervoerscentrum";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"1";"2"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2"
"Vlothaven";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sloterdijk-West";"0";"0";"1";"2";"5";"2";"1";"2";"1";"1";"6";"1"
"Isolatorbuurt";"0";"0";"1";"0";"2";"2";"0";"0";"0";"1";"2";"0"
"Contactbuurt";"0";"0";"0";"2";"1";"0";"1";"2";"1";"0";"3";"1"
"Woon- en Groengebied Sloterdijk";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"6";"5";"8";"4";"4";"3";"2";"3";"5";"3";"4";"6"
"Hemknoop-Zuid";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"1";"0";"1";"1";"0";"0";"1";"0";"0";"1";"1";"4"
"Spaarndammerbuurt-Midden";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Spaarndammerbuurt-Zuidwest";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1"
"Spaarndammerbuurt-Noordoost";"3";"3";"1";"1";"1";"2";"0";"0";"1";"0";"0";"1"
"Zeeheldenbuurt";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0"
"Westergasfabriek";"1";"1";"2";"1";"1";"1";"0";"0";"2";"0";"2";"0"
"Spaarndammerbuurt-Zuidoost";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Houthavens";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Houthavens-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Houthavens-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"De Kolenkit";"2";"4";"3";"4";"4";"2";"3";"2";"2";"3";"3";"4"
"Kolenkitbuurt-Noord";"1";"2";"3";"3";"3";"1";"1";"1";"1";"0";"2";"1"
"Kolenkitbuurt-Zuid";"1";"1";"0";"0";"0";"1";"1";"1";"1";"0";"1";"0"
"Laan van Spartaan";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Robert Scottbuurt-West";"0";"0";"0";"1";"1";"0";"1";"0";"0";"2";"0";"2"
"Landlust";"10";"12";"14";"5";"7";"8";"7";"6";"7";"4";"5";"2"
"Bosleeuw";"3";"1";"4";"2";"3";"5";"1";"3";"2";"2";"2";"0"
"Gibraltarbuurt";"0";"3";"4";"2";"2";"2";"2";"2";"0";"2";"1";"1"
"Bedrijventerrein Landlust";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Landlust-Noord";"3";"3";"1";"0";"1";"0";"0";"0";"3";"0";"0";"1"
"Erasmusparkbuurt-Oost";"1";"3";"2";"0";"1";"0";"1";"1";"0";"0";"1";"0"
"Landlust-Zuid";"3";"1";"2";"1";"0";"0";"3";"0";"1";"0";"1";"0"
"Erasmuspark";"3";"2";"1";"2";"0";"1";"1";"1";"3";"1";"1";"0"
"Robert Scottbuurt-Oost";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Erasmusparkbuurt-West";"2";"1";"1";"1";"0";"1";"1";"0";"3";"1";"1";"0"
"Centrale Markt";"1";"5";"0";"2";"0";"1";"0";"0";"1";"0";"2";"1"
"Bedrijvencentrum Westerkwartier";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1"
"GWL-terrein";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Markthallen";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Marcanti";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
