"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.3 Openlijk geweld (persoon)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"356";"367";"291";"242";"276";"229";"228";"263";"170";"312";"319";"318"
"Haarlemmerbuurt";"3";"4";"2";"0";"2";"2";"2";"0";"1";"0";"1";"3"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"2";"2";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1"
"Haarlemmerbuurt-Oost";"1";"2";"1";"0";"1";"2";"0";"0";"0";"0";"0";"2"
"Jordaan";"10";"4";"7";"3";"5";"5";"2";"5";"2";"4";"9";"7"
"Marnixbuurt-Noord";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Driehoekbuurt";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1"
"Anjeliersbuurt-Noord";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0"
"Zaagpoortbuurt";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"Anjeliersbuurt-Zuid";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Marnixbuurt-Midden";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0"
"Groenmarktkadebuurt";"1";"1";"1";"0";"3";"0";"0";"3";"1";"0";"0";"2"
"Marnixbuurt-Zuid";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Elandsgrachtbuurt";"3";"1";"2";"1";"0";"3";"1";"1";"0";"1";"1";"4"
"Passeerdersgrachtbuurt";"1";"0";"1";"2";"0";"1";"1";"1";"0";"0";"1";"0"
"Grachtengordel-West";"3";"4";"1";"4";"1";"3";"1";"2";"1";"2";"1";"1"
"Langestraat e.o.";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0"
"Leliegracht e.o.";"2";"2";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0"
"Felix Meritisbuurt";"1";"2";"1";"3";"0";"1";"1";"1";"0";"0";"1";"0"
"Leidsegracht-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Burgwallen-Nieuwe Zijde";"23";"31";"21";"22";"25";"18";"13";"22";"11";"14";"27";"23"
"Stationsplein e.o.";"8";"6";"6";"5";"9";"6";"5";"5";"3";"3";"20";"10"
"Hemelrijk";"1";"3";"2";"0";"1";"2";"0";"2";"1";"0";"1";"1"
"Nieuwendijk-Noord";"4";"7";"3";"3";"2";"4";"1";"3";"3";"4";"3";"3"
"Spuistraat-Noord";"1";"1";"1";"1";"0";"1";"1";"2";"0";"1";"0";"0"
"Nieuwe Kerk e.o.";"5";"6";"2";"1";"6";"2";"1";"4";"4";"4";"0";"5"
"Spuistraat-Zuid";"0";"2";"2";"4";"1";"0";"0";"0";"0";"0";"0";"1"
"Begijnhofbuurt";"1";"3";"3";"4";"3";"0";"2";"2";"0";"1";"1";"2"
"Kalverdriehoek";"3";"3";"2";"4";"3";"3";"3";"4";"0";"1";"2";"1"
"Burgwallen-Oude Zijde";"36";"57";"15";"14";"18";"15";"26";"13";"8";"4";"12";"16"
"Kop Zeedijk";"7";"11";"3";"4";"2";"7";"4";"0";"0";"0";"0";"4"
"Oude Kerk e.o.";"9";"39";"7";"9";"8";"4";"9";"6";"3";"3";"6";"6"
"Burgwallen-Oost";"18";"3";"4";"0";"6";"3";"12";"4";"3";"1";"4";"4"
"Nes e.o.";"2";"3";"1";"1";"2";"1";"1";"3";"2";"0";"2";"2"
"BG-terrein e.o.";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nieuwmarkt/Lastage";"7";"8";"6";"7";"13";"1";"1";"6";"2";"2";"1";"6"
"Oosterdokseiland";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1"
"Lastage";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Scheepvaarthuisbuurt";"0";"2";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"Rapenburg";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nieuwmarkt";"2";"1";"2";"3";"2";"0";"0";"1";"1";"1";"0";"2"
"Uilenburg";"1";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0";"0"
"Valkenburg";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zuiderkerkbuurt";"1";"0";"2";"0";"2";"0";"0";"1";"1";"0";"0";"1"
"Waterloopleinbuurt";"0";"1";"1";"0";"8";"1";"1";"0";"0";"0";"1";"1"
"Grachtengordel-Zuid";"32";"29";"39";"35";"28";"25";"19";"22";"4";"3";"23";"17"
"Leidsegracht-Zuid";"0";"1";"7";"3";"2";"2";"1";"3";"0";"0";"1";"3"
"Geelvinckbuurt";"5";"4";"3";"3";"3";"1";"4";"1";"0";"0";"1";"5"
"Rembrandtplein e.o.";"19";"17";"25";"25";"20";"19";"11";"13";"1";"2";"16";"5"
"Spiegelbuurt";"4";"4";"2";"1";"1";"2";"0";"2";"3";"1";"1";"2"
"Vijzelstraatbuurt";"1";"0";"1";"2";"1";"0";"1";"1";"0";"0";"1";"1"
"Amstelveldbuurt";"3";"3";"1";"1";"1";"1";"2";"2";"0";"0";"3";"1"
"De Weteringschans";"34";"46";"27";"17";"26";"25";"17";"17";"2";"7";"32";"28"
"Leidsebuurt-Noordwest";"6";"5";"5";"3";"7";"7";"5";"7";"0";"3";"5";"2"
"Leidsebuurt-Noordoost";"11";"20";"15";"7";"14";"12";"6";"6";"2";"3";"16";"20"
"Weteringbuurt";"0";"1";"0";"2";"0";"0";"2";"0";"0";"0";"3";"1"
"Utrechtsebuurt-Zuid";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Leidsebuurt-Zuidwest";"6";"15";"4";"3";"3";"0";"0";"2";"0";"1";"7";"3"
"Leidsebuurt-Zuidoost";"9";"1";"0";"2";"1";"5";"1";"1";"0";"0";"0";"1"
"Den Texbuurt";"0";"2";"2";"0";"1";"1";"0";"1";"0";"0";"0";"1"
"Frederikspleinbuurt";"1";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"Weesperbuurt/Plantage";"2";"3";"1";"1";"2";"0";"0";"2";"0";"2";"0";"4"
"Weesperbuurt";"1";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1"
"Plantage";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"Sarphatistrook";"0";"1";"0";"1";"0";"0";"0";"1";"0";"2";"0";"2"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"2";"1";"1";"2";"4";"3";"1";"1";"1";"1";"1";"2"
"Marine-Etablissement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Kattenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Wittenburg";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0"
"Oostenburg";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2"
"Czaar Peterbuurt";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"Het Funen";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kadijken";"0";"0";"0";"0";"1";"3";"0";"0";"1";"0";"0";"0"
"Kazernebuurt";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Havens-West";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Amerikahaven";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"0";"1";"0";"0";"1";"1";"1";"0";"0";"0";"1";"3"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2"
"Hemknoop-Noord";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Sloterdijk-West";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"Isolatorbuurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Contactbuurt";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Woon- en Groengebied Sloterdijk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"3";"7";"9";"2";"1";"0";"5";"3";"3";"2";"1";"2"
"Hemknoop-Zuid";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2"
"Overbraker Binnenpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaanstraat emplacement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordwest";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"Spaarndammerbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Zuidwest";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spaarndammerbuurt-Noordoost";"0";"2";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0"
"Zeeheldenbuurt";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Westergasfabriek";"2";"3";"8";"2";"0";"0";"2";"1";"2";"1";"0";"0"
"Spaarndammerbuurt-Zuidoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Houthavens";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Houthavens-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Houthavens-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"De Kolenkit";"0";"5";"1";"1";"2";"1";"2";"1";"2";"1";"4";"3"
"Kolenkitbuurt-Noord";"0";"2";"1";"0";"2";"0";"1";"0";"2";"0";"2";"1"
"Kolenkitbuurt-Zuid";"0";"2";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0"
"Laan van Spartaan";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1"
"Robert Scottbuurt-West";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1"
"Landlust";"3";"3";"1";"3";"2";"3";"6";"5";"2";"1";"5";"4"
"Bosleeuw";"0";"1";"1";"2";"0";"0";"1";"1";"0";"0";"2";"2"
"Gibraltarbuurt";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1"
"Bedrijventerrein Landlust";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"1"
"Landlust-Noord";"1";"1";"0";"0";"0";"2";"2";"0";"1";"1";"1";"0"
"Erasmusparkbuurt-Oost";"1";"0";"0";"1";"1";"0";"0";"2";"0";"0";"1";"0"
"Landlust-Zuid";"1";"1";"0";"0";"0";"0";"2";"1";"1";"0";"0";"0"
"Erasmuspark";"0";"1";"1";"0";"1";"1";"4";"1";"0";"1";"3";"2"
"Robert Scottbuurt-Oost";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Erasmusparkbuurt-West";"0";"1";"1";"0";"1";"0";"4";"1";"0";"1";"3";"2"
"Centrale Markt";"2";"0";"1";"1";"1";"3";"0";"2";"1";"0";"0";"1"
"Bedrijvencentrum Westerkwartier";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1"
"GWL-terrein";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Markthallen";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Marcanti";"2";"0";"1";"0";"0";"2";"0";"1";"0";"0";"0";"0"
"Staatsliedenbuurt";"2";"0";"2";"1";"1";"1";"2";"5";"0";"0";"0";"0"
"Westerstaatsman";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Fannius Scholtenbuurt";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Staatsliedenbuurt-Noordoost";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"De Wittenbuurt-Noord";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"De Wittenbuurt-Zuid";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Buyskade e.o.";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"Frederik Hendrikbuurt";"2";"1";"0";"1";"0";"3";"2";"0";"2";"1";"1";"1"
"Frederik Hendrikbuurt-Noord";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1"
"Frederik Hendrikbuurt-Zuidwest";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Frederik Hendrikbuurt-Zuidoost";"1";"1";"0";"0";"0";"2";"1";"0";"2";"1";"1";"0"
"Van Galenbuurt";"3";"1";"1";"1";"0";"1";"1";"2";"1";"2";"1";"2"
"Mercatorpark";"0";"0";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0"
"Orteliusbuurt-Noord";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jan Maijenbuurt";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"John Franklinbuurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2"
"Geuzenbuurt";"0";"2";"1";"0";"0";"2";"0";"2";"1";"1";"3";"0"
"Pieter van der Doesbuurt";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0"
"Trompbuurt";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0"
"Geuzenhofbuurt";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Hoofdweg e.o.";"2";"2";"1";"0";"3";"3";"0";"4";"3";"1";"1";"4"
"Orteliusbuurt-Midden";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Balboaplein e.o.";"2";"1";"0";"0";"2";"2";"0";"3";"2";"1";"0";"2"
"Orteliusbuurt-Zuid";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Columbusplein e.o.";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1"
"Chassébuurt";"1";"1";"2";"1";"2";"0";"1";"0";"0";"0";"2";"0"
"Filips van Almondekwartier";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Kortenaerkwartier";"1";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"Van Brakelkwartier";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"De Wester Quartier";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bellamybuurt";"2";"1";"1";"0";"0";"0";"1";"3";"2";"2";"2";"0"
"Bellamybuurt-Noord";"1";"0";"0";"0";"0";"0";"0";"3";"0";"1";"0";"0"
"Bellamybuurt-Zuid";"1";"1";"1";"0";"0";"0";"1";"0";"2";"1";"2";"0"
"Da Costabuurt";"4";"1";"0";"0";"0";"2";"0";"1";"1";"0";"2";"1"
"Da Costabuurt-Noord";"4";"1";"0";"0";"0";"2";"0";"1";"1";"0";"2";"1"
"Westindische Buurt";"0";"1";"1";"0";"1";"1";"0";"2";"0";"2";"1";"1"
"Postjeskade e.o.";"0";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"0"
"Paramariboplein e.o.";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"1"
"Van Lennepbuurt";"2";"0";"1";"1";"0";"1";"0";"2";"2";"0";"0";"1"
"Lootsbuurt";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"Borgerbuurt";"2";"0";"0";"1";"0";"1";"0";"0";"2";"0";"0";"0"
"Da Costabuurt-Zuid";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Overtoomse Sluis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
"Cremerbuurt-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"Vondelparkbuurt-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Helmersbuurt";"2";"0";"1";"0";"0";"1";"3";"0";"4";"0";"4";"1"
"Cremerbuurt-Oost";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0"
"WG-terrein";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"1";"1"
"Helmersbuurt-Oost";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0"
"Vondelparkbuurt";"0";"0";"1";"1";"0";"1";"4";"1";"2";"0";"4";"2"
"Vondelparkbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Vondelparkbuurt-Oost";"0";"0";"1";"1";"0";"1";"4";"1";"0";"0";"4";"2"
"Sloterdijk Nieuw-West";"2";"6";"1";"2";"4";"1";"5";"1";"4";"7";"6";"7"
"Sloterdijk De Heining";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
