"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.6 Straatroof"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"2061";"2114";"1708";"1451";"1327";"1182";"1215";"1224";"899";"691";"775";"770"
"Haarlemmerbuurt";"29";"26";"22";"16";"12";"10";"6";"10";"5";"8";"9";"2"
"Planciusbuurt-Noord";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0"
"Westelijke eilanden";"2";"1";"3";"3";"2";"0";"1";"0";"0";"0";"1";"0"
"Westerdokseiland";"0";"2";"3";"1";"2";"2";"0";"3";"0";"0";"0";"0"
"Planciusbuurt-Zuid";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Haarlemmerbuurt-West";"14";"12";"7";"4";"3";"4";"4";"2";"1";"3";"2";"0"
"Haarlemmerbuurt-Oost";"11";"11";"9";"8";"4";"3";"1";"5";"3";"4";"6";"2"
"Jordaan";"40";"47";"42";"28";"16";"25";"25";"17";"20";"8";"11";"7"
"Marnixbuurt-Noord";"0";"1";"5";"2";"0";"0";"1";"1";"0";"0";"0";"1"
"Driehoekbuurt";"3";"3";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0"
"Anjeliersbuurt-Noord";"2";"3";"1";"3";"0";"1";"1";"2";"2";"1";"3";"1"
"Zaagpoortbuurt";"2";"2";"4";"0";"2";"1";"0";"0";"1";"0";"0";"0"
"Anjeliersbuurt-Zuid";"3";"3";"9";"4";"2";"1";"3";"1";"3";"4";"0";"0"
"Marnixbuurt-Midden";"0";"1";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0"
"Bloemgrachtbuurt";"1";"7";"7";"5";"1";"5";"6";"3";"2";"0";"1";"1"
"Groenmarktkadebuurt";"6";"9";"2";"1";"0";"5";"1";"5";"3";"1";"0";"1"
"Marnixbuurt-Zuid";"3";"4";"2";"1";"1";"1";"0";"1";"2";"0";"0";"0"
"Elandsgrachtbuurt";"15";"11";"10";"9";"7";"8";"9";"2";"3";"2";"7";"1"
"Passeerdersgrachtbuurt";"5";"3";"2";"3";"1";"3";"4";"0";"0";"0";"0";"2"
"Grachtengordel-West";"47";"36";"64";"38";"22";"31";"17";"10";"7";"1";"6";"10"
"Langestraat e.o.";"14";"8";"8";"5";"4";"0";"1";"3";"1";"0";"0";"0"
"Leliegracht e.o.";"16";"4";"17";"13";"4";"12";"5";"0";"1";"0";"2";"2"
"Felix Meritisbuurt";"14";"16";"27";"19";"11";"13";"9";"5";"3";"0";"2";"5"
"Leidsegracht-Noord";"3";"8";"12";"1";"3";"6";"2";"2";"2";"1";"2";"3"
"Burgwallen-Nieuwe Zijde";"115";"112";"101";"120";"92";"67";"61";"58";"43";"54";"90";"79"
"Stationsplein e.o.";"16";"8";"17";"19";"23";"13";"11";"14";"8";"19";"26";"26"
"Hemelrijk";"12";"9";"15";"14";"5";"6";"7";"6";"8";"5";"8";"7"
"Nieuwendijk-Noord";"16";"13";"19";"17";"5";"7";"11";"7";"2";"3";"22";"8"
"Spuistraat-Noord";"21";"6";"5";"16";"10";"8";"2";"5";"3";"2";"4";"5"
"Nieuwe Kerk e.o.";"21";"28";"19";"19";"16";"14";"15";"9";"7";"16";"8";"16"
"Spuistraat-Zuid";"8";"12";"6";"15";"14";"6";"6";"4";"6";"6";"10";"3"
"Begijnhofbuurt";"17";"20";"11";"13";"12";"8";"6";"5";"7";"2";"7";"12"
