"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.7 Overval"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"221";"249";"177";"175";"178";"186";"226";"214";"154";"161";"122";"127"
"Haarlemmerbuurt";"5";"6";"0";"0";"1";"1";"1";"1";"2";"2";"0";"0"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Haarlemmerbuurt-West";"5";"3";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0"
"Haarlemmerbuurt-Oost";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jordaan";"6";"2";"4";"5";"0";"2";"4";"1";"1";"0";"1";"2"
"Marnixbuurt-Noord";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2"
"Driehoekbuurt";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"2";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1";"0"
"Zaagpoortbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Anjeliersbuurt-Zuid";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Groenmarktkadebuurt";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Marnixbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Elandsgrachtbuurt";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Passeerdersgrachtbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-West";"4";"0";"3";"3";"1";"0";"1";"1";"0";"0";"0";"1"
"Langestraat e.o.";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Leliegracht e.o.";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Felix Meritisbuurt";"4";"0";"1";"2";"1";"0";"1";"1";"0";"0";"0";"0"
"Leidsegracht-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Nieuwe Zijde";"6";"9";"8";"5";"4";"3";"5";"2";"4";"6";"2";"1"
"Stationsplein e.o.";"0";"3";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0"
"Hemelrijk";"0";"1";"0";"1";"1";"1";"0";"0";"2";"3";"0";"0"
"Nieuwendijk-Noord";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0"
"Spuistraat-Noord";"2";"2";"2";"1";"1";"0";"1";"1";"0";"1";"0";"1"
"Nieuwe Kerk e.o.";"0";"0";"1";"2";"0";"0";"0";"1";"1";"1";"1";"0"
"Spuistraat-Zuid";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Begijnhofbuurt";"3";"0";"1";"1";"1";"0";"1";"0";"1";"0";"0";"0"
"Kalverdriehoek";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Burgwallen-Oude Zijde";"2";"7";"3";"5";"3";"4";"3";"1";"1";"2";"1";"0"
"Kop Zeedijk";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Oude Kerk e.o.";"1";"1";"2";"0";"1";"1";"1";"0";"0";"1";"0";"0"
"Burgwallen-Oost";"1";"6";"0";"3";"2";"1";"2";"0";"1";"1";"1";"0"
"Nes e.o.";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"BG-terrein e.o.";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Nieuwmarkt/Lastage";"2";"2";"3";"2";"1";"0";"3";"2";"0";"0";"1";"2"
"Oosterdokseiland";"0";"0";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"Lastage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Scheepvaarthuisbuurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Rapenburg";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Nieuwmarkt";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0"
"Uilenburg";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Valkenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zuiderkerkbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Waterloopleinbuurt";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"1"
"Grachtengordel-Zuid";"4";"1";"3";"2";"0";"0";"0";"1";"0";"0";"0";"1"
"Leidsegracht-Zuid";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Geelvinckbuurt";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Rembrandtplein e.o.";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Spiegelbuurt";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vijzelstraatbuurt";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amstelveldbuurt";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"De Weteringschans";"2";"8";"4";"3";"0";"0";"1";"1";"2";"2";"4";"0"
"Leidsebuurt-Noordwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Noordoost";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Weteringbuurt";"1";"2";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Utrechtsebuurt-Zuid";"1";"1";"1";"0";"0";"0";"1";"0";"2";"1";"4";"0"
"Leidsebuurt-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Leidsebuurt-Zuidoost";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Den Texbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Frederikspleinbuurt";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Weesperbuurt/Plantage";"2";"2";"3";"2";"0";"0";"3";"1";"0";"0";"2";"0"
"Weesperbuurt";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Plantage";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0"
"Sarphatistrook";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"3";"1";"1";"3";"0";"1";"3";"2";"0";"0";"1";"2"
"Marine-Etablissement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kattenburg";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Wittenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostenburg";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Czaar Peterbuurt";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"2"
"Het Funen";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Kadijken";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"Kazernebuurt";"1";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Havens-West";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Petroleumhaven";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Vervoerscentrum";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Coenhaven/Minervahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
