"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.5.2 Diefstallen (water)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"278";"347";"242";"228";"180";"157";"148";"123";"126";"79";"113";"94"
"Haarlemmerbuurt";"4";"5";"5";"4";"3";"3";"0";"4";"1";"3";"4";"0"
"Planciusbuurt-Noord";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Westelijke eilanden";"0";"1";"2";"2";"2";"1";"0";"1";"0";"3";"2";"0"
"Westerdokseiland";"3";"3";"0";"1";"1";"1";"0";"2";"1";"0";"1";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Haarlemmerbuurt-Oost";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Jordaan";"6";"29";"15";"10";"6";"9";"11";"11";"11";"3";"11";"1"
"Marnixbuurt-Noord";"0";"1";"1";"0";"1";"0";"1";"0";"0";"1";"1";"0"
"Driehoekbuurt";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaagpoortbuurt";"0";"4";"2";"1";"0";"2";"2";"2";"1";"1";"3";"0"
"Anjeliersbuurt-Zuid";"2";"2";"1";"0";"0";"0";"2";"1";"1";"0";"0";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bloemgrachtbuurt";"1";"3";"3";"0";"1";"0";"1";"0";"3";"0";"1";"0"
"Groenmarktkadebuurt";"1";"0";"2";"1";"1";"0";"0";"0";"0";"0";"2";"0"
"Marnixbuurt-Zuid";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Elandsgrachtbuurt";"2";"14";"4";"5";"2";"5";"3";"5";"4";"1";"2";"1"
"Passeerdersgrachtbuurt";"0";"3";"1";"2";"1";"2";"2";"1";"2";"0";"1";"0"
"Grachtengordel-West";"23";"22";"10";"12";"15";"2";"8";"9";"4";"2";"4";"2"
"Langestraat e.o.";"3";"0";"1";"4";"1";"0";"1";"3";"0";"0";"0";"0"
"Leliegracht e.o.";"2";"10";"3";"2";"6";"0";"3";"1";"2";"1";"2";"1"
"Felix Meritisbuurt";"14";"10";"5";"5";"7";"2";"3";"5";"1";"1";"1";"1"
"Leidsegracht-Noord";"4";"2";"1";"1";"1";"0";"1";"0";"1";"0";"1";"0"
"Burgwallen-Nieuwe Zijde";"3";"5";"4";"3";"2";"2";"1";"1";"2";"1";"3";"3"
"Stationsplein e.o.";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"1"
"Hemelrijk";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Nieuwendijk-Noord";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Spuistraat-Noord";"0";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1"
"Nieuwe Kerk e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spuistraat-Zuid";"2";"3";"3";"0";"0";"1";"0";"0";"1";"1";"3";"1"
"Begijnhofbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalverdriehoek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Oude Zijde";"2";"4";"4";"5";"4";"1";"3";"2";"0";"0";"1";"0"
"Kop Zeedijk";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Oude Kerk e.o.";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
"Burgwallen-Oost";"0";"2";"2";"0";"3";"0";"1";"0";"0";"0";"0";"0"
"Nes e.o.";"0";"1";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0"
"BG-terrein e.o.";"1";"1";"0";"3";"0";"1";"0";"1";"0";"0";"0";"0"
"Nieuwmarkt/Lastage";"8";"5";"9";"6";"5";"1";"4";"1";"3";"2";"6";"6"
"Oosterdokseiland";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Lastage";"0";"2";"2";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Scheepvaarthuisbuurt";"0";"0";"0";"0";"2";"0";"2";"0";"0";"1";"3";"4"
"Rapenburg";"1";"1";"0";"1";"0";"0";"0";"0";"1";"0";"3";"2"
"Nieuwmarkt";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Uilenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Valkenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zuiderkerkbuurt";"5";"2";"6";"2";"3";"1";"2";"1";"1";"1";"0";"0"
"Waterloopleinbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-Zuid";"10";"10";"11";"4";"5";"2";"4";"2";"6";"6";"2";"3"
"Leidsegracht-Zuid";"2";"0";"2";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Geelvinckbuurt";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"1"
"Rembrandtplein e.o.";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Spiegelbuurt";"1";"2";"2";"2";"1";"0";"2";"0";"1";"0";"2";"0"
"Vijzelstraatbuurt";"2";"4";"2";"0";"2";"0";"2";"0";"1";"2";"0";"0"
"Amstelveldbuurt";"4";"4";"2";"1";"1";"1";"0";"2";"2";"2";"0";"2"
"De Weteringschans";"8";"10";"5";"4";"9";"5";"6";"1";"4";"0";"1";"2"
