"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.6.1 Brand/ontploffing"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"217";"192";"213";"251";"245";"240";"225";"245";"264";"258";"299";"349"
"Haarlemmerbuurt";"1";"2";"2";"1";"1";"2";"0";"1";"2";"3";"3";"2"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"2";"1";"1";"1";"2";"0";"1";"0";"1";"0";"0"
"Westerdokseiland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"0"
"Haarlemmerbuurt-Oost";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"Jordaan";"1";"1";"1";"6";"5";"1";"1";"3";"0";"3";"3";"1"
"Marnixbuurt-Noord";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0"
"Driehoekbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Zaagpoortbuurt";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Anjeliersbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Groenmarktkadebuurt";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0"
"Marnixbuurt-Zuid";"1";"1";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0"
"Elandsgrachtbuurt";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"2";"0"
"Passeerdersgrachtbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Grachtengordel-West";"1";"2";"2";"1";"2";"0";"2";"1";"5";"1";"0";"0"
"Langestraat e.o.";"0";"2";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"Leliegracht e.o.";"1";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0"
"Felix Meritisbuurt";"0";"0";"1";"0";"0";"0";"1";"0";"5";"0";"0";"0"
"Leidsegracht-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Nieuwe Zijde";"2";"1";"4";"2";"2";"3";"7";"4";"3";"2";"1";"3"
"Stationsplein e.o.";"0";"0";"0";"0";"0";"2";"0";"1";"1";"2";"0";"0"
"Hemelrijk";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0"
"Nieuwendijk-Noord";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"1";"0"
"Spuistraat-Noord";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Nieuwe Kerk e.o.";"0";"1";"1";"1";"1";"0";"5";"0";"0";"0";"0";"2"
"Spuistraat-Zuid";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Begijnhofbuurt";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Kalverdriehoek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Oude Zijde";"1";"2";"1";"0";"0";"0";"1";"0";"3";"2";"2";"2"
"Kop Zeedijk";"0";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
"Oude Kerk e.o.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0"
"Burgwallen-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"Nes e.o.";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"BG-terrein e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Nieuwmarkt/Lastage";"2";"0";"1";"0";"2";"1";"0";"2";"1";"2";"1";"1"
"Oosterdokseiland";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Lastage";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Scheepvaarthuisbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Rapenburg";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Nieuwmarkt";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Uilenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Valkenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zuiderkerkbuurt";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"Waterloopleinbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-Zuid";"4";"3";"0";"0";"0";"2";"1";"0";"1";"0";"7";"1"
"Leidsegracht-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1"
"Geelvinckbuurt";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0"
"Rembrandtplein e.o.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Spiegelbuurt";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Vijzelstraatbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amstelveldbuurt";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"De Weteringschans";"2";"0";"1";"3";"1";"2";"2";"1";"1";"0";"6";"2"
"Leidsebuurt-Noordwest";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Noordoost";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"3";"1"
"Weteringbuurt";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0"
"Utrechtsebuurt-Zuid";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsebuurt-Zuidoost";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Den Texbuurt";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Frederikspleinbuurt";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1"
"Weesperbuurt/Plantage";"0";"4";"2";"2";"1";"0";"1";"0";"2";"0";"0";"1"
"Weesperbuurt";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Plantage";"0";"2";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0"
"Sarphatistrook";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"Alexanderplein e.o.";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"1";"4";"5";"4";"0";"5";"4";"2";"3";"1";"3";"4"
"Marine-Etablissement";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kattenburg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Wittenburg";"0";"3";"2";"0";"0";"2";"2";"0";"0";"1";"0";"0"
"Oostenburg";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"2"
"Czaar Peterbuurt";"0";"0";"1";"1";"0";"0";"1";"0";"1";"0";"0";"1"
"Het Funen";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1"
"Kadijken";"0";"0";"1";"2";"0";"1";"0";"0";"1";"0";"2";"0"
"Kazernebuurt";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Havens-West";"0";"0";"2";"1";"1";"1";"2";"0";"1";"0";"0";"0"
"Afrikahaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Amerikahaven";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0"
"Westhaven-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Petroleumhaven";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westhaven-Zuid";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
"Coenhaven/Minervahaven";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Vlothaven";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
