"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.3 Diefstal van brom-, snor-, fietsen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"10490";"11321";"12142";"12728";"11537";"10817";"11355";"11317";"10385";"8202";"10865";"12349"
"Haarlemmerbuurt";"142";"188";"181";"192";"196";"152";"190";"154";"164";"102";"126";"181"
"Planciusbuurt-Noord";"2";"8";"2";"1";"0";"0";"2";"1";"2";"1";"0";"6"
"Westelijke eilanden";"20";"36";"24";"36";"35";"25";"38";"22";"33";"17";"20";"25"
"Westerdokseiland";"20";"37";"32";"39";"49";"41";"56";"54";"31";"16";"20";"38"
"Planciusbuurt-Zuid";"3";"2";"2";"3";"2";"4";"4";"3";"3";"2";"0";"3"
"Haarlemmerbuurt-West";"50";"57";"61";"62";"57";"42";"53";"41";"53";"37";"55";"52"
"Haarlemmerbuurt-Oost";"47";"48";"60";"51";"53";"40";"37";"33";"42";"29";"31";"57"
"Jordaan";"413";"356";"464";"454";"338";"289";"341";"343";"323";"248";"405";"390"
"Marnixbuurt-Noord";"33";"26";"21";"29";"13";"29";"22";"24";"15";"15";"22";"29"
"Driehoekbuurt";"55";"34";"57";"54";"35";"40";"42";"37";"34";"27";"50";"49"
"Anjeliersbuurt-Noord";"51";"39";"64";"48";"25";"23";"34";"25";"45";"22";"39";"44"
"Zaagpoortbuurt";"11";"14";"23";"26";"18";"9";"11";"16";"16";"10";"24";"12"
"Anjeliersbuurt-Zuid";"52";"40";"60";"51";"57";"33";"35";"42";"32";"44";"59";"44"
"Marnixbuurt-Midden";"5";"5";"5";"5";"3";"7";"9";"8";"5";"10";"10";"7"
"Bloemgrachtbuurt";"61";"72";"58";"58";"48";"39";"48";"40";"40";"31";"61";"47"
"Groenmarktkadebuurt";"15";"13";"10";"24";"23";"10";"12";"20";"23";"12";"9";"15"
"Marnixbuurt-Zuid";"18";"11";"18";"17";"9";"11";"13";"12";"17";"8";"14";"20"
"Elandsgrachtbuurt";"95";"78";"122";"114";"87";"68";"93";"99";"82";"56";"94";"102"
"Passeerdersgrachtbuurt";"17";"24";"26";"28";"20";"20";"22";"20";"14";"13";"23";"21"
"Grachtengordel-West";"204";"167";"238";"189";"177";"167";"169";"165";"125";"104";"185";"171"
"Langestraat e.o.";"37";"32";"43";"35";"32";"28";"44";"39";"31";"24";"35";"35"
"Leliegracht e.o.";"46";"47";"65";"44";"47";"42";"43";"31";"31";"20";"51";"34"
"Felix Meritisbuurt";"76";"57";"86";"76";"77";"71";"59";"75";"47";"39";"75";"73"
"Leidsegracht-Noord";"45";"31";"44";"34";"21";"26";"23";"20";"16";"21";"24";"29"
"Burgwallen-Nieuwe Zijde";"483";"600";"621";"696";"604";"541";"564";"646";"363";"278";"402";"342"
"Stationsplein e.o.";"255";"363";"327";"406";"373";"331";"345";"395";"219";"171";"206";"120"
"Hemelrijk";"27";"37";"34";"36";"39";"32";"34";"32";"38";"12";"23";"32"
"Nieuwendijk-Noord";"28";"14";"28";"23";"16";"22";"22";"22";"5";"6";"17";"26"
"Spuistraat-Noord";"30";"41";"37";"39";"40";"28";"25";"35";"24";"19";"34";"33"
"Nieuwe Kerk e.o.";"44";"39";"43";"50";"24";"26";"27";"22";"13";"12";"26";"24"
