"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.4 Zakkenrollerij"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"8926";"10997";"9235";"9265";"7946";"6573";"5250";"4384";"1994";"1486";"3857";"4772"
"Haarlemmerbuurt";"51";"66";"70";"53";"70";"48";"49";"40";"27";"12";"29";"43"
"Planciusbuurt-Noord";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"5";"2";"1";"2";"0";"2";"3";"0";"0";"1";"0"
"Westerdokseiland";"3";"3";"6";"6";"9";"11";"10";"10";"2";"1";"8";"5"
"Planciusbuurt-Zuid";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"24";"27";"24";"24";"32";"15";"21";"11";"13";"5";"13";"16"
"Haarlemmerbuurt-Oost";"22";"31";"37";"22";"27";"21";"16";"16";"12";"6";"7";"22"
"Jordaan";"173";"236";"228";"200";"169";"155";"107";"119";"34";"40";"93";"88"
"Marnixbuurt-Noord";"4";"3";"2";"7";"6";"3";"3";"3";"1";"3";"4";"0"
"Driehoekbuurt";"7";"15";"12";"15";"6";"4";"2";"3";"1";"4";"5";"8"
"Anjeliersbuurt-Noord";"35";"57";"53";"40";"35";"31";"12";"17";"3";"9";"10";"8"
"Zaagpoortbuurt";"1";"3";"1";"4";"1";"3";"1";"3";"2";"0";"1";"1"
"Anjeliersbuurt-Zuid";"32";"45";"51";"37";"32";"25";"16";"14";"2";"5";"13";"7"
"Marnixbuurt-Midden";"4";"8";"2";"5";"3";"1";"2";"2";"0";"1";"3";"1"
"Bloemgrachtbuurt";"6";"14";"24";"23";"23";"23";"20";"15";"7";"2";"13";"17"
"Groenmarktkadebuurt";"17";"16";"24";"16";"16";"16";"11";"6";"4";"5";"4";"7"
"Marnixbuurt-Zuid";"5";"5";"5";"3";"1";"3";"1";"9";"1";"2";"2";"3"
"Elandsgrachtbuurt";"59";"68";"44";"46";"42";"44";"38";"43";"12";"8";"37";"32"
