"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.2.5 Diefstal af/uit/van ov. voertuigen"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"1751";"1919";"2172";"2118";"1826";"1618";"1576";"1871";"2195";"2176";"3711";"3914"
"Haarlemmerbuurt";"31";"29";"33";"37";"26";"25";"21";"16";"28";"30";"40";"46"
"Planciusbuurt-Noord";"1";"1";"0";"0";"0";"3";"0";"1";"0";"1";"0";"2"
"Westelijke eilanden";"3";"3";"2";"6";"4";"5";"4";"2";"5";"7";"5";"4"
"Westerdokseiland";"10";"10";"15";"13";"5";"7";"6";"4";"8";"3";"9";"7"
"Planciusbuurt-Zuid";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0"
"Haarlemmerbuurt-West";"6";"12";"6";"5";"7";"5";"6";"6";"7";"13";"10";"16"
"Haarlemmerbuurt-Oost";"11";"2";"10";"12";"10";"5";"5";"3";"6";"6";"15";"17"
"Jordaan";"47";"37";"54";"40";"44";"34";"35";"43";"58";"67";"86";"86"
"Marnixbuurt-Noord";"4";"0";"6";"1";"5";"2";"3";"5";"6";"9";"5";"6"
"Driehoekbuurt";"4";"8";"5";"7";"5";"8";"7";"5";"5";"10";"4";"12"
"Anjeliersbuurt-Noord";"7";"3";"2";"5";"9";"1";"2";"2";"8";"6";"17";"14"
"Zaagpoortbuurt";"5";"3";"3";"1";"3";"2";"3";"3";"1";"2";"4";"1"
"Anjeliersbuurt-Zuid";"3";"4";"9";"4";"7";"4";"3";"5";"4";"7";"14";"11"
"Marnixbuurt-Midden";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"1";"0"
"Bloemgrachtbuurt";"6";"5";"5";"3";"5";"7";"1";"8";"9";"11";"8";"7"
"Groenmarktkadebuurt";"3";"2";"3";"5";"3";"2";"3";"2";"4";"0";"3";"7"
"Marnixbuurt-Zuid";"0";"2";"2";"3";"0";"2";"1";"2";"2";"2";"3";"4"
"Elandsgrachtbuurt";"12";"10";"13";"9";"4";"5";"11";"8";"15";"18";"22";"19"
"Passeerdersgrachtbuurt";"2";"0";"6";"2";"3";"0";"1";"2";"3";"1";"5";"5"
"Grachtengordel-West";"20";"14";"33";"27";"15";"13";"12";"14";"21";"34";"55";"40"
"Langestraat e.o.";"4";"3";"2";"4";"0";"4";"2";"5";"7";"10";"11";"8"
"Leliegracht e.o.";"2";"3";"11";"8";"3";"1";"4";"4";"2";"7";"14";"7"
"Felix Meritisbuurt";"10";"7";"17";"13";"10";"7";"4";"3";"6";"11";"22";"18"
"Leidsegracht-Noord";"4";"1";"3";"2";"2";"1";"2";"2";"6";"6";"8";"7"
"Burgwallen-Nieuwe Zijde";"45";"54";"77";"85";"82";"51";"72";"106";"48";"55";"108";"93"
