"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.3.1 Ongevallen (weg)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"3925";"4314";"4074";"4236";"4764";"5109";"5192";"4940";"4535";"4734";"5358";"5012"
"Haarlemmerbuurt";"37";"44";"41";"30";"45";"34";"55";"39";"42";"31";"37";"37"
"Planciusbuurt-Noord";"0";"0";"2";"0";"2";"0";"1";"0";"1";"1";"1";"0"
"Westelijke eilanden";"3";"3";"5";"3";"3";"2";"6";"5";"6";"6";"7";"7"
"Westerdokseiland";"8";"5";"10";"6";"9";"6";"11";"11";"13";"8";"7";"8"
"Planciusbuurt-Zuid";"0";"2";"1";"2";"2";"1";"3";"1";"1";"3";"2";"0"
"Haarlemmerbuurt-West";"16";"16";"9";"11";"13";"9";"17";"11";"8";"9";"13";"11"
"Haarlemmerbuurt-Oost";"10";"18";"14";"8";"16";"16";"17";"11";"13";"4";"7";"11"
"Jordaan";"87";"104";"75";"92";"102";"89";"118";"115";"67";"74";"106";"110"
"Marnixbuurt-Noord";"3";"5";"2";"5";"5";"2";"8";"2";"5";"4";"12";"6"
"Driehoekbuurt";"9";"11";"8";"6";"9";"8";"17";"13";"8";"5";"12";"10"
"Anjeliersbuurt-Noord";"10";"10";"8";"8";"11";"9";"7";"13";"6";"11";"11";"12"
"Zaagpoortbuurt";"4";"2";"1";"5";"5";"0";"6";"7";"5";"4";"7";"3"
"Anjeliersbuurt-Zuid";"12";"13";"6";"11";"12";"6";"13";"14";"6";"11";"10";"14"
"Marnixbuurt-Midden";"0";"2";"1";"1";"1";"1";"2";"3";"0";"0";"4";"1"
"Bloemgrachtbuurt";"4";"10";"10";"4";"21";"13";"11";"15";"8";"11";"9";"17"
"Groenmarktkadebuurt";"13";"17";"11";"14";"6";"13";"14";"9";"4";"4";"5";"13"
"Marnixbuurt-Zuid";"4";"4";"8";"4";"3";"5";"7";"4";"3";"7";"6";"8"
"Elandsgrachtbuurt";"20";"24";"17";"28";"21";"23";"29";"26";"18";"15";"24";"22"
"Passeerdersgrachtbuurt";"8";"6";"3";"6";"8";"9";"4";"9";"4";"2";"6";"4"
"Grachtengordel-West";"43";"51";"64";"70";"79";"61";"57";"41";"46";"42";"66";"62"
"Langestraat e.o.";"4";"3";"12";"14";"16";"10";"11";"11";"11";"5";"8";"8"
"Leliegracht e.o.";"7";"12";"13";"17";"12";"14";"12";"11";"13";"10";"10";"17"
"Felix Meritisbuurt";"26";"24";"23";"25";"28";"27";"17";"13";"16";"16";"24";"20"
"Leidsegracht-Noord";"6";"12";"16";"14";"23";"10";"17";"6";"6";"11";"24";"17"
"Burgwallen-Nieuwe Zijde";"63";"76";"60";"63";"72";"85";"69";"52";"50";"43";"65";"64"
"Stationsplein e.o.";"3";"9";"9";"3";"4";"8";"6";"5";"2";"8";"9";"12"
"Hemelrijk";"14";"15";"9";"20";"13";"17";"15";"14";"12";"7";"15";"2"
"Nieuwendijk-Noord";"8";"7";"6";"6";"9";"8";"17";"6";"8";"4";"5";"8"
"Spuistraat-Noord";"9";"8";"10";"7";"8";"6";"7";"4";"7";"3";"10";"8"
"Nieuwe Kerk e.o.";"7";"6";"4";"9";"9";"12";"6";"8";"4";"3";"9";"7"
"Spuistraat-Zuid";"12";"14";"15";"10";"17";"14";"9";"8";"7";"3";"10";"20"
"Begijnhofbuurt";"4";"10";"4";"5";"8";"12";"7";"5";"7";"8";"4";"4"
"Kalverdriehoek";"6";"7";"3";"3";"4";"8";"2";"2";"3";"7";"3";"3"
"Burgwallen-Oude Zijde";"40";"56";"44";"39";"50";"42";"58";"53";"48";"55";"66";"58"
"Kop Zeedijk";"3";"12";"3";"7";"4";"4";"10";"7";"8";"14";"9";"12"
"Oude Kerk e.o.";"26";"27";"19";"18";"23";"22";"21";"27";"22";"16";"25";"22"
"Burgwallen-Oost";"4";"7";"5";"4";"6";"7";"9";"9";"9";"13";"18";"12"
"Nes e.o.";"2";"4";"5";"3";"9";"3";"6";"3";"5";"5";"8";"8"
"BG-terrein e.o.";"5";"6";"12";"7";"8";"6";"12";"7";"4";"7";"6";"4"
"Nieuwmarkt/Lastage";"59";"50";"60";"71";"88";"87";"85";"64";"66";"42";"90";"61"
"Oosterdokseiland";"4";"9";"10";"7";"10";"14";"8";"7";"6";"6";"10";"4"
"Lastage";"3";"7";"1";"6";"6";"10";"6";"3";"2";"4";"10";"2"
"Scheepvaarthuisbuurt";"9";"10";"16";"16";"16";"14";"12";"8";"10";"4";"14";"14"
"Rapenburg";"5";"4";"4";"2";"3";"7";"3";"9";"5";"3";"7";"3"
"Nieuwmarkt";"9";"4";"10";"4";"7";"7";"12";"4";"9";"10";"9";"7"
"Uilenburg";"5";"7";"3";"5";"11";"7";"9";"7";"9";"4";"9";"8"
"Valkenburg";"4";"1";"3";"4";"6";"6";"5";"8";"4";"1";"5";"5"
"Zuiderkerkbuurt";"6";"2";"3";"11";"10";"6";"8";"1";"6";"4";"10";"8"
