"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.1 Zedenmisdrijf"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";".";".";".";".";".";".";".";".";".";".";".";"."
"Haarlemmerbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Planciusbuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Westelijke eilanden";".";".";".";".";".";".";".";".";".";".";".";"."
"Westerdokseiland";".";".";".";".";".";".";".";".";".";".";".";"."
"Planciusbuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Haarlemmerbuurt-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Haarlemmerbuurt-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Jordaan";".";".";".";".";".";".";".";".";".";".";".";"."
"Marnixbuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Driehoekbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Anjeliersbuurt-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Zaagpoortbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Anjeliersbuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Marnixbuurt-Midden";".";".";".";".";".";".";".";".";".";".";".";"."
"Bloemgrachtbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Groenmarktkadebuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Marnixbuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Elandsgrachtbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Passeerdersgrachtbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Grachtengordel-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Langestraat e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Leliegracht e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Felix Meritisbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Leidsegracht-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Burgwallen-Nieuwe Zijde";".";".";".";".";".";".";".";".";".";".";".";"."
"Stationsplein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Hemelrijk";".";".";".";".";".";".";".";".";".";".";".";"."
"Nieuwendijk-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Spuistraat-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Nieuwe Kerk e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Spuistraat-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Begijnhofbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Kalverdriehoek";".";".";".";".";".";".";".";".";".";".";".";"."
"Burgwallen-Oude Zijde";".";".";".";".";".";".";".";".";".";".";".";"."
"Kop Zeedijk";".";".";".";".";".";".";".";".";".";".";".";"."
"Oude Kerk e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Burgwallen-Oost";".";".";".";".";".";".";".";".";".";".";".";"."
"Nes e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"BG-terrein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Nieuwmarkt/Lastage";".";".";".";".";".";".";".";".";".";".";".";"."
"Oosterdokseiland";".";".";".";".";".";".";".";".";".";".";".";"."
"Lastage";".";".";".";".";".";".";".";".";".";".";".";"."
"Scheepvaarthuisbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Rapenburg";".";".";".";".";".";".";".";".";".";".";".";"."
"Nieuwmarkt";".";".";".";".";".";".";".";".";".";".";".";"."
"Uilenburg";".";".";".";".";".";".";".";".";".";".";".";"."
"Valkenburg";".";".";".";".";".";".";".";".";".";".";".";"."
"Zuiderkerkbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Waterloopleinbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Grachtengordel-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Leidsegracht-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Geelvinckbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Rembrandtplein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Spiegelbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Vijzelstraatbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Amstelveldbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"De Weteringschans";".";".";".";".";".";".";".";".";".";".";".";"."
"Leidsebuurt-Noordwest";".";".";".";".";".";".";".";".";".";".";".";"."
"Leidsebuurt-Noordoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Weteringbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Utrechtsebuurt-Zuid";".";".";".";".";".";".";".";".";".";".";".";"."
"Leidsebuurt-Zuidwest";".";".";".";".";".";".";".";".";".";".";".";"."
"Leidsebuurt-Zuidoost";".";".";".";".";".";".";".";".";".";".";".";"."
"Den Texbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Frederikspleinbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Weesperbuurt/Plantage";".";".";".";".";".";".";".";".";".";".";".";"."
"Weesperbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Plantage";".";".";".";".";".";".";".";".";".";".";".";"."
"Sarphatistrook";".";".";".";".";".";".";".";".";".";".";".";"."
"Alexanderplein e.o.";".";".";".";".";".";".";".";".";".";".";".";"."
"Oostelijke Eilanden/Kadijken";".";".";".";".";".";".";".";".";".";".";".";"."
"Marine-Etablissement";".";".";".";".";".";".";".";".";".";".";".";"."
"Kattenburg";".";".";".";".";".";".";".";".";".";".";".";"."
"Wittenburg";".";".";".";".";".";".";".";".";".";".";".";"."
"Oostenburg";".";".";".";".";".";".";".";".";".";".";".";"."
"Czaar Peterbuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Het Funen";".";".";".";".";".";".";".";".";".";".";".";"."
"Kadijken";".";".";".";".";".";".";".";".";".";".";".";"."
"Kazernebuurt";".";".";".";".";".";".";".";".";".";".";".";"."
"Havens-West";".";".";".";".";".";".";".";".";".";".";".";"."
"Afrikahaven";".";".";".";".";".";".";".";".";".";".";".";"."
"Amerikahaven";".";".";".";".";".";".";".";".";".";".";".";"."
"Westhaven-Noord";".";".";".";".";".";".";".";".";".";".";".";"."
"Petroleumhaven";".";".";".";".";".";".";".";".";".";".";".";"."
