"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.4 Bedreiging"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"3429";"3298";"3341";"3141";"3017";"2677";"2585";"2771";"2822";"2663";"2422";"2331"
"Haarlemmerbuurt";"27";"25";"39";"26";"27";"18";"20";"19";"21";"19";"23";"28"
"Planciusbuurt-Noord";"1";"0";"0";"0";"1";"0";"1";"0";"0";"3";"1";"0"
"Westelijke eilanden";"2";"3";"4";"5";"3";"1";"0";"3";"7";"3";"4";"4"
"Westerdokseiland";"2";"6";"3";"6";"7";"5";"2";"6";"3";"7";"7";"6"
"Planciusbuurt-Zuid";"1";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"10";"12";"18";"12";"10";"9";"13";"7";"8";"4";"8";"12"
"Haarlemmerbuurt-Oost";"11";"4";"12";"3";"5";"3";"3";"3";"3";"2";"3";"6"
"Jordaan";"51";"62";"56";"55";"63";"59";"44";"50";"43";"57";"41";"49"
"Marnixbuurt-Noord";"2";"0";"1";"5";"2";"5";"2";"2";"0";"7";"3";"3"
"Driehoekbuurt";"7";"7";"5";"6";"7";"5";"6";"4";"2";"7";"2";"7"
"Anjeliersbuurt-Noord";"5";"4";"7";"7";"4";"5";"4";"3";"0";"1";"1";"2"
"Zaagpoortbuurt";"5";"3";"4";"1";"3";"2";"4";"5";"1";"6";"2";"5"
"Anjeliersbuurt-Zuid";"11";"9";"5";"3";"8";"11";"5";"4";"7";"9";"3";"2"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"Bloemgrachtbuurt";"1";"2";"5";"5";"5";"5";"8";"5";"2";"3";"6";"6"
"Groenmarktkadebuurt";"2";"7";"5";"5";"5";"1";"1";"2";"5";"2";"5";"3"
"Marnixbuurt-Zuid";"4";"12";"9";"8";"7";"8";"5";"10";"9";"8";"13";"9"
"Elandsgrachtbuurt";"10";"14";"11";"11";"10";"14";"8";"11";"15";"13";"5";"10"
"Passeerdersgrachtbuurt";"4";"4";"4";"4";"12";"2";"1";"4";"2";"1";"0";"2"
"Grachtengordel-West";"13";"25";"22";"11";"19";"13";"10";"15";"13";"10";"16";"13"
"Langestraat e.o.";"1";"4";"3";"1";"5";"3";"1";"3";"3";"2";"5";"1"
"Leliegracht e.o.";"5";"6";"8";"2";"4";"2";"3";"6";"4";"1";"2";"6"
"Felix Meritisbuurt";"5";"8";"9";"7";"9";"7";"5";"5";"6";"5";"9";"5"
"Leidsegracht-Noord";"2";"7";"2";"1";"1";"1";"1";"1";"0";"2";"0";"1"
"Burgwallen-Nieuwe Zijde";"97";"98";"97";"96";"105";"90";"100";"80";"96";"86";"89";"91"
"Stationsplein e.o.";"22";"39";"37";"45";"49";"40";"45";"25";"38";"34";"34";"37"
"Hemelrijk";"7";"5";"10";"6";"10";"10";"13";"6";"4";"6";"9";"6"
"Nieuwendijk-Noord";"18";"9";"14";"9";"7";"10";"10";"11";"7";"18";"12";"16"
"Spuistraat-Noord";"6";"10";"9";"7";"5";"2";"7";"10";"6";"2";"5";"3"
"Nieuwe Kerk e.o.";"17";"19";"11";"12";"16";"14";"20";"15";"25";"15";"10";"17"
"Spuistraat-Zuid";"9";"2";"1";"6";"10";"1";"0";"7";"3";"8";"4";"6"
"Begijnhofbuurt";"13";"4";"6";"4";"4";"7";"3";"1";"9";"2";"9";"2"
"Kalverdriehoek";"5";"10";"9";"7";"4";"6";"2";"5";"4";"1";"6";"4"
"Burgwallen-Oude Zijde";"77";"68";"73";"62";"50";"43";"68";"66";"46";"44";"55";"52"
"Kop Zeedijk";"9";"10";"12";"16";"15";"9";"11";"10";"13";"9";"12";"11"
"Oude Kerk e.o.";"44";"37";"35";"21";"18";"21";"24";"30";"17";"17";"15";"17"
"Burgwallen-Oost";"17";"18";"20";"20";"10";"7";"21";"18";"13";"11";"22";"19"
"Nes e.o.";"3";"1";"2";"1";"5";"5";"7";"5";"2";"5";"3";"4"
"BG-terrein e.o.";"4";"2";"4";"4";"2";"1";"5";"3";"1";"2";"3";"1"
"Nieuwmarkt/Lastage";"53";"38";"61";"37";"38";"34";"40";"35";"41";"40";"37";"31"
"Oosterdokseiland";"5";"3";"7";"2";"3";"3";"3";"4";"4";"3";"3";"4"
"Lastage";"3";"2";"4";"1";"2";"3";"3";"1";"2";"2";"2";"1"
"Scheepvaarthuisbuurt";"3";"4";"6";"3";"3";"2";"1";"3";"2";"2";"0";"1"
"Rapenburg";"4";"2";"1";"2";"0";"2";"1";"1";"1";"1";"2";"2"
"Nieuwmarkt";"10";"7";"13";"5";"5";"2";"5";"4";"5";"12";"8";"6"
"Uilenburg";"4";"3";"6";"7";"4";"9";"7";"9";"2";"7";"5";"5"
"Valkenburg";"6";"6";"5";"2";"1";"3";"3";"2";"6";"1";"1";"4"
"Zuiderkerkbuurt";"5";"3";"8";"6";"7";"3";"7";"1";"8";"2";"2";"2"
"Waterloopleinbuurt";"13";"8";"11";"9";"13";"7";"10";"10";"11";"10";"14";"6"
"Grachtengordel-Zuid";"60";"44";"51";"47";"43";"40";"37";"41";"26";"23";"32";"41"
"Leidsegracht-Zuid";"2";"2";"4";"3";"1";"2";"4";"3";"2";"2";"3";"10"
"Geelvinckbuurt";"4";"6";"8";"5";"8";"4";"6";"8";"3";"4";"6";"10"
"Rembrandtplein e.o.";"40";"23";"24";"27";"24";"25";"19";"20";"10";"10";"20";"14"
"Spiegelbuurt";"4";"5";"4";"7";"3";"5";"2";"5";"4";"0";"1";"2"
"Vijzelstraatbuurt";"5";"3";"4";"2";"4";"2";"3";"3";"3";"2";"2";"4"
"Amstelveldbuurt";"5";"5";"7";"3";"3";"2";"3";"2";"4";"5";"0";"1"
"De Weteringschans";"79";"70";"52";"78";"66";"68";"52";"46";"45";"29";"55";"29"
"Leidsebuurt-Noordwest";"15";"10";"14";"17";"13";"15";"15";"11";"7";"3";"9";"8"
"Leidsebuurt-Noordoost";"30";"24";"16";"24";"17";"23";"14";"16";"6";"6";"13";"6"
"Weteringbuurt";"7";"5";"4";"4";"4";"6";"6";"3";"7";"3";"9";"6"
