"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.4.5 Mishandeling"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"4609";"4269";"4358";"4323";"4369";"4142";"3918";"3937";"3550";"3216";"3945";"3921"
"Haarlemmerbuurt";"48";"34";"41";"41";"55";"32";"39";"39";"40";"32";"32";"32"
"Planciusbuurt-Noord";"0";"2";"0";"2";"1";"0";"0";"0";"0";"2";"0";"0"
"Westelijke eilanden";"11";"5";"6";"8";"7";"0";"2";"5";"6";"1";"1";"3"
"Westerdokseiland";"5";"4";"6";"7";"9";"8";"8";"6";"3";"10";"7";"3"
"Planciusbuurt-Zuid";"1";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"2"
"Haarlemmerbuurt-West";"19";"11";"13";"9";"18";"11";"17";"14";"17";"16";"16";"16"
"Haarlemmerbuurt-Oost";"12";"11";"15";"15";"20";"13";"11";"13";"13";"3";"8";"8"
"Jordaan";"101";"88";"92";"82";"98";"98";"100";"88";"70";"80";"118";"103"
"Marnixbuurt-Noord";"2";"9";"4";"2";"8";"7";"12";"7";"2";"2";"3";"4"
"Driehoekbuurt";"7";"2";"8";"7";"7";"8";"6";"4";"4";"5";"6";"7"
"Anjeliersbuurt-Noord";"13";"6";"5";"9";"5";"8";"14";"11";"4";"5";"8";"8"
"Zaagpoortbuurt";"5";"4";"5";"1";"6";"5";"4";"7";"2";"11";"3";"5"
"Anjeliersbuurt-Zuid";"15";"9";"9";"5";"12";"6";"10";"8";"9";"10";"20";"13"
"Marnixbuurt-Midden";"2";"3";"2";"3";"2";"0";"1";"3";"3";"0";"2";"2"
"Bloemgrachtbuurt";"3";"6";"8";"11";"8";"10";"6";"5";"2";"9";"10";"3"
"Groenmarktkadebuurt";"10";"5";"8";"8";"14";"10";"12";"16";"8";"4";"12";"8"
"Marnixbuurt-Zuid";"10";"12";"4";"7";"6";"12";"14";"8";"10";"6";"26";"18"
"Elandsgrachtbuurt";"26";"27";"30";"24";"25";"27";"20";"18";"24";"18";"24";"26"
"Passeerdersgrachtbuurt";"8";"5";"9";"5";"5";"5";"1";"1";"2";"10";"4";"9"
