"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 1.6.2 Overige vermogensdelicten"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"14702";"13480";"12863";"12680";"12828";"11093";"10130";"9847";"7259";"6299";"9815";"10783"
"Haarlemmerbuurt";"160";"171";"163";"140";"161";"148";"129";"113";"108";"77";"122";"116"
"Planciusbuurt-Noord";"2";"1";"3";"0";"1";"3";"1";"0";"1";"0";"1";"1"
"Westelijke eilanden";"16";"13";"12";"14";"12";"9";"17";"8";"11";"7";"13";"11"
"Westerdokseiland";"12";"24";"26";"22";"22";"29";"15";"18";"13";"6";"13";"17"
"Planciusbuurt-Zuid";"1";"1";"0";"2";"0";"0";"2";"1";"4";"1";"1";"1"
"Haarlemmerbuurt-West";"59";"49";"51";"43";"52";"43";"51";"39";"36";"31";"47";"44"
"Haarlemmerbuurt-Oost";"70";"83";"71";"59";"74";"64";"43";"47";"43";"32";"47";"42"
"Jordaan";"354";"355";"363";"310";"296";"247";"213";"222";"163";"121";"210";"225"
"Marnixbuurt-Noord";"14";"15";"21";"10";"15";"2";"9";"6";"5";"1";"1";"16"
"Driehoekbuurt";"25";"20";"20";"24";"18";"19";"12";"10";"7";"13";"22";"7"
"Anjeliersbuurt-Noord";"37";"62";"56";"35";"36";"27";"21";"26";"24";"12";"23";"24"
"Zaagpoortbuurt";"9";"18";"11";"8";"13";"5";"8";"7";"5";"13";"5";"13"
"Anjeliersbuurt-Zuid";"34";"31";"46";"38";"38";"20";"17";"26";"11";"16";"21";"30"
"Marnixbuurt-Midden";"11";"14";"5";"5";"4";"7";"4";"7";"4";"2";"1";"3"
"Bloemgrachtbuurt";"39";"50";"38";"42";"43";"39";"38";"37";"17";"10";"31";"20"
"Groenmarktkadebuurt";"27";"17";"27";"28";"21";"25";"21";"10";"20";"10";"18";"23"
"Marnixbuurt-Zuid";"24";"23";"22";"10";"15";"23";"14";"10";"13";"4";"22";"16"
"Elandsgrachtbuurt";"107";"80";"91";"92";"80";"70";"59";"69";"50";"37";"59";"66"
"Passeerdersgrachtbuurt";"27";"25";"26";"18";"13";"10";"10";"14";"7";"3";"7";"7"
"Grachtengordel-West";"203";"181";"193";"185";"182";"153";"127";"119";"87";"62";"151";"119"
"Langestraat e.o.";"22";"27";"22";"38";"21";"18";"21";"15";"11";"7";"12";"13"
"Leliegracht e.o.";"58";"60";"62";"53";"64";"50";"42";"39";"23";"17";"50";"30"
"Felix Meritisbuurt";"78";"65";"64";"68";"69";"64";"49";"40";"46";"31";"63";"50"
"Leidsegracht-Noord";"45";"29";"45";"26";"28";"21";"15";"25";"7";"7";"26";"26"
"Burgwallen-Nieuwe Zijde";"1514";"1558";"1545";"1784";"1751";"1710";"1501";"1300";"585";"485";"1224";"1274"
"Stationsplein e.o.";"431";"508";"572";"782";"698";"733";"688";"570";"248";"269";"593";"676"
"Hemelrijk";"92";"88";"64";"78";"102";"86";"59";"72";"37";"22";"62";"46"
"Nieuwendijk-Noord";"144";"136";"164";"154";"159";"153";"136";"149";"62";"38";"117";"118"
"Spuistraat-Noord";"78";"84";"65";"92";"82";"75";"62";"36";"31";"10";"59";"38"
"Nieuwe Kerk e.o.";"298";"277";"276";"259";"303";"342";"296";"212";"92";"67";"134";"172"
"Spuistraat-Zuid";"122";"125";"91";"107";"116";"106";"83";"86";"35";"24";"89";"100"
"Begijnhofbuurt";"225";"209";"198";"167";"174";"141";"114";"95";"51";"34";"92";"72"
"Kalverdriehoek";"124";"131";"115";"145";"117";"74";"63";"80";"29";"21";"78";"52"
"Burgwallen-Oude Zijde";"925";"1019";"942";"956";"1024";"776";"721";"603";"273";"198";"571";"636"
"Kop Zeedijk";"171";"221";"197";"200";"196";"163";"147";"121";"51";"36";"121";"147"
"Oude Kerk e.o.";"452";"466";"429";"451";"447";"360";"294";"252";"118";"77";"237";"285"
"Burgwallen-Oost";"144";"171";"169";"151";"227";"153";"164";"127";"60";"61";"126";"127"
"Nes e.o.";"101";"117";"99";"113";"112";"74";"81";"69";"31";"15";"56";"59"
"BG-terrein e.o.";"57";"44";"48";"41";"42";"26";"35";"34";"13";"9";"31";"18"
"Nieuwmarkt/Lastage";"348";"394";"408";"385";"344";"302";"304";"275";"141";"108";"208";"255"
"Oosterdokseiland";"49";"74";"69";"83";"73";"63";"71";"73";"20";"17";"39";"49"
"Lastage";"19";"21";"19";"16";"19";"18";"10";"19";"7";"7";"16";"13"
"Scheepvaarthuisbuurt";"36";"40";"49";"31";"28";"22";"25";"15";"11";"9";"28";"34"
"Rapenburg";"21";"16";"14";"19";"16";"24";"20";"16";"26";"14";"16";"16"
"Nieuwmarkt";"66";"89";"73";"83";"75";"55";"48";"43";"19";"17";"30";"35"
"Uilenburg";"41";"40";"58";"32";"33";"35";"29";"36";"13";"11";"21";"22"
"Valkenburg";"10";"12";"2";"9";"9";"12";"11";"2";"5";"4";"7";"4"
"Zuiderkerkbuurt";"47";"52";"61";"49";"37";"31";"37";"37";"16";"12";"32";"40"
"Waterloopleinbuurt";"59";"50";"63";"63";"54";"42";"53";"34";"24";"17";"19";"42"
"Grachtengordel-Zuid";"1094";"932";"747";"773";"803";"615";"487";"492";"198";"119";"603";"568"
"Leidsegracht-Zuid";"67";"50";"42";"37";"56";"37";"24";"31";"16";"9";"40";"45"
"Geelvinckbuurt";"165";"180";"130";"134";"202";"151";"106";"121";"38";"22";"211";"179"
"Rembrandtplein e.o.";"688";"573";"447";"474";"430";"335";"267";"268";"93";"58";"278";"285"
"Spiegelbuurt";"61";"47";"56";"64";"45";"41";"42";"29";"19";"14";"19";"15"
"Vijzelstraatbuurt";"48";"39";"25";"29";"29";"23";"23";"21";"11";"10";"23";"17"
"Amstelveldbuurt";"65";"43";"47";"35";"41";"28";"25";"22";"21";"6";"32";"27"
"De Weteringschans";"1091";"940";"751";"730";"700";"564";"414";"427";"209";"129";"357";"435"
"Leidsebuurt-Noordwest";"208";"153";"125";"137";"144";"115";"91";"68";"25";"15";"71";"80"
"Leidsebuurt-Noordoost";"465";"417";"322";"335";"281";"246";"165";"182";"72";"38";"140";"178"
"Weteringbuurt";"52";"39";"17";"28";"41";"32";"25";"27";"24";"20";"17";"29"
"Utrechtsebuurt-Zuid";"31";"24";"18";"13";"17";"11";"11";"12";"10";"7";"15";"8"
"Leidsebuurt-Zuidwest";"194";"156";"136";"112";"102";"69";"54";"62";"23";"13";"70";"82"
"Leidsebuurt-Zuidoost";"101";"100";"89";"67";"76";"55";"38";"58";"27";"16";"21";"37"
"Den Texbuurt";"14";"35";"29";"22";"25";"17";"20";"9";"14";"8";"17";"10"
"Frederikspleinbuurt";"26";"16";"15";"16";"14";"19";"10";"9";"14";"12";"6";"11"
"Weesperbuurt/Plantage";"156";"151";"136";"118";"120";"111";"145";"157";"101";"71";"119";"138"
"Weesperbuurt";"55";"40";"41";"28";"43";"36";"52";"46";"33";"13";"39";"37"
"Plantage";"47";"44";"33";"35";"36";"24";"28";"25";"20";"26";"33";"28"
"Sarphatistrook";"48";"60";"58";"53";"40";"45";"63";"84";"48";"28";"42";"70"
"Alexanderplein e.o.";"6";"7";"4";"2";"1";"6";"2";"2";"0";"4";"5";"3"
"Oostelijke Eilanden/Kadijken";"123";"141";"97";"80";"93";"98";"75";"92";"87";"54";"113";"96"
"Marine-Etablissement";"22";"57";"12";"12";"23";"18";"17";"15";"19";"0";"23";"17"
"Kattenburg";"7";"7";"11";"5";"8";"4";"4";"8";"3";"4";"4";"5"
"Wittenburg";"18";"9";"13";"9";"10";"12";"4";"4";"14";"9";"9";"13"
"Oostenburg";"8";"12";"11";"11";"10";"19";"15";"17";"9";"9";"17";"19"
"Czaar Peterbuurt";"19";"25";"19";"17";"10";"13";"14";"11";"15";"14";"16";"13"
"Het Funen";"11";"10";"4";"3";"5";"6";"5";"14";"5";"3";"11";"7"
"Kadijken";"19";"13";"17";"14";"16";"14";"8";"14";"15";"10";"20";"10"
"Kazernebuurt";"19";"8";"10";"9";"11";"12";"8";"9";"7";"5";"13";"12"
"Havens-West";"79";"56";"43";"41";"32";"30";"53";"46";"28";"20";"31";"42"
"Afrikahaven";"16";"17";"14";"15";"9";"5";"15";"13";"10";"6";"12";"17"
"Amerikahaven";"24";"5";"8";"11";"8";"9";"12";"15";"5";"5";"10";"6"
"Westhaven-Noord";"14";"16";"6";"9";"7";"7";"13";"4";"4";"6";"4";"3"
"Petroleumhaven";"4";"1";"2";"0";"2";"2";"0";"2";"3";"0";"1";"3"
"Vervoerscentrum";"14";"12";"11";"4";"4";"7";"12";"9";"2";"3";"3";"9"
"Westhaven-Zuid";"7";"5";"2";"2";"2";"0";"1";"3";"4";"0";"1";"4"
"Coenhaven/Minervahaven";"23";"31";"23";"26";"111";"175";"77";"67";"103";"115";"104";"176"
"Coenhaven";"1";"2";"0";"3";"2";"1";"1";"0";"0";"0";"1";"3"
"Vlothaven";"2";"0";"0";"4";"4";"4";"4";"3";"0";"4";"2";"3"
"Minervahaven-Noordoost";"0";"5";"1";"2";"8";"6";"5";"4";"2";"6";"12";"16"
"Minervahaven-Noordwest";"4";"7";"6";"3";"3";"3";"4";"2";"2";"4";"3";"2"
"Minervahaven-Zuidwest";"5";"2";"2";"0";"3";"1";"3";"1";"0";"0";"2";"3"
"Minervahaven-Zuidoost";"5";"11";"6";"3";"3";"1";"3";"2";"3";"5";"9";"14"
"Alfa-driehoek";"4";"3";"5";"4";"1";"5";"6";"4";"1";"2";"0";"6"
"Hemknoop-Noord";"2";"1";"3";"7";"87";"154";"51";"51";"95";"94";"75";"129"
"Sloterdijk-West";"51";"41";"43";"39";"53";"43";"39";"44";"31";"22";"40";"41"
"Isolatorbuurt";"25";"18";"15";"23";"28";"22";"25";"25";"10";"9";"21";"28"
"Contactbuurt";"11";"10";"10";"7";"9";"12";"5";"8";"10";"4";"6";"4"
"Woon- en Groengebied Sloterdijk";"15";"13";"18";"9";"16";"9";"9";"11";"11";"9";"13";"9"
"Spaarndammerbuurt/Zeeheldenbuurt";"174";"181";"204";"159";"184";"131";"125";"112";"102";"122";"124";"156"
"Hemknoop-Zuid";"7";"1";"1";"1";"4";"1";"9";"4";"4";"9";"6";"11"
"Overbraker Binnenpolder";"1";"3";"4";"5";"1";"1";"5";"3";"2";"3";"1";"1"
"Zaanstraat emplacement";"1";"1";"1";"1";"1";"2";"3";"0";"2";"1";"1";"1"
"Spaarndammerbuurt-Noordwest";"14";"10";"14";"15";"15";"13";"11";"14";"7";"8";"8";"9"
"Spaarndammerbuurt-Midden";"6";"11";"10";"8";"13";"7";"7";"3";"8";"8";"9";"14"
"Spaarndammerbuurt-Zuidwest";"9";"11";"9";"8";"15";"10";"11";"16";"17";"8";"6";"12"
"Spaarndammerbuurt-Noordoost";"9";"18";"11";"12";"9";"9";"16";"13";"16";"14";"17";"18"
"Zeeheldenbuurt";"9";"9";"5";"11";"7";"14";"8";"8";"6";"5";"12";"12"
