"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.4.2 Huisvredebreuk"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"195";"218";"220";"239";"261";"211";"248";"255";"228";"209";"295";"301"
"Haarlemmerbuurt";"4";"8";"6";"1";"7";"7";"1";"2";"1";"1";"2";"2"
"Planciusbuurt-Noord";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"2";"0";"1";"1";"0";"2";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"0";"4";"1";"0";"6";"5";"0";"0";"0";"1";"0";"1"
"Haarlemmerbuurt-Oost";"1";"2";"3";"0";"1";"0";"0";"2";"1";"0";"1";"0"
"Jordaan";"2";"3";"0";"6";"4";"4";"4";"2";"3";"6";"4";"7"
"Marnixbuurt-Noord";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"1";"0";"0";"2";"1";"0";"1";"0";"0"
"Zaagpoortbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"1";"2";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"1";"1"
"Groenmarktkadebuurt";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1"
"Marnixbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Elandsgrachtbuurt";"1";"1";"0";"1";"1";"2";"0";"0";"1";"2";"0";"4"
