"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.5.1 Diefstal/inbraak bedrijven enz."
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"3820";"4202";"4085";"3999";"3313";"2862";"2751";"2706";"1776";"1330";"1687";"1717"
"Haarlemmerbuurt";"60";"69";"82";"56";"39";"38";"48";"38";"39";"15";"21";"8"
"Planciusbuurt-Noord";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
"Westelijke eilanden";"13";"14";"7";"11";"4";"15";"13";"8";"6";"2";"3";"0"
"Westerdokseiland";"8";"20";"14";"5";"9";"7";"12";"9";"0";"0";"3";"1"
"Planciusbuurt-Zuid";"0";"0";"1";"1";"1";"0";"0";"1";"0";"1";"0";"0"
"Haarlemmerbuurt-West";"15";"13";"25";"14";"15";"9";"9";"8";"19";"8";"4";"4"
"Haarlemmerbuurt-Oost";"24";"21";"35";"25";"10";"6";"14";"12";"13";"4";"11";"3"
"Jordaan";"76";"105";"125";"121";"81";"71";"61";"63";"44";"43";"47";"39"
"Marnixbuurt-Noord";"0";"2";"1";"3";"2";"3";"1";"3";"0";"1";"1";"0"
"Driehoekbuurt";"6";"11";"10";"6";"5";"2";"3";"6";"1";"3";"4";"0"
"Anjeliersbuurt-Noord";"15";"5";"9";"13";"9";"9";"7";"4";"5";"10";"8";"2"
"Zaagpoortbuurt";"1";"5";"4";"9";"2";"2";"2";"3";"0";"3";"2";"1"
"Anjeliersbuurt-Zuid";"2";"12";"14";"9";"4";"9";"5";"8";"3";"2";"5";"2"
"Marnixbuurt-Midden";"1";"3";"0";"3";"4";"2";"1";"1";"2";"0";"0";"2"
"Bloemgrachtbuurt";"13";"15";"20";"13";"19";"12";"8";"9";"8";"2";"4";"7"
"Groenmarktkadebuurt";"1";"2";"2";"2";"1";"2";"0";"3";"2";"1";"1";"1"
"Marnixbuurt-Zuid";"6";"10";"8";"10";"5";"4";"3";"6";"2";"2";"4";"0"
"Elandsgrachtbuurt";"28";"36";"49";"45";"26";"22";"23";"18";"19";"11";"14";"20"
"Passeerdersgrachtbuurt";"3";"4";"8";"8";"4";"4";"8";"2";"2";"8";"4";"4"
"Grachtengordel-West";"74";"81";"86";"97";"88";"50";"40";"46";"56";"34";"50";"38"
