"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.6.14 Voedselveiligheid"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jordaan";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marnixbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaagpoortbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Groenmarktkadebuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marnixbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Elandsgrachtbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Passeerdersgrachtbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-West";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Langestraat e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leliegracht e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Felix Meritisbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsegracht-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Nieuwe Zijde";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Stationsplein e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hemelrijk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nieuwendijk-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spuistraat-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nieuwe Kerk e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spuistraat-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Begijnhofbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalverdriehoek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Oude Zijde";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kop Zeedijk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oude Kerk e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Nes e.o.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
