"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 2.7.2 Bijzondere wetten"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"130";"103";"130";"142";"118";"121";"144";"194";"214";"236";"245";"216"
"Haarlemmerbuurt";"7";"1";"6";"1";"3";"3";"4";"1";"5";"7";"5";"1"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Westerdokseiland";"7";"1";"5";"1";"3";"2";"1";"0";"4";"5";"2";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"1"
"Haarlemmerbuurt-Oost";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0"
"Jordaan";"11";"5";"6";"1";"6";"4";"4";"7";"7";"3";"13";"8"
"Marnixbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Zaagpoortbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"1"
"Groenmarktkadebuurt";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"Marnixbuurt-Zuid";"11";"3";"6";"1";"1";"2";"3";"6";"5";"1";"4";"6"
"Elandsgrachtbuurt";"0";"2";"0";"0";"1";"1";"1";"0";"2";"2";"3";"1"
"Passeerdersgrachtbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-West";"0";"1";"1";"0";"2";"0";"2";"0";"2";"5";"1";"1"
"Langestraat e.o.";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Leliegracht e.o.";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1"
"Felix Meritisbuurt";"0";"0";"0";"0";"1";"0";"2";"0";"1";"2";"0";"0"
"Leidsegracht-Noord";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Burgwallen-Nieuwe Zijde";"6";"6";"7";"8";"11";"7";"16";"10";"12";"10";"10";"5"
"Stationsplein e.o.";"2";"4";"2";"1";"1";"3";"3";"2";"3";"4";"2";"1"
"Hemelrijk";"0";"0";"2";"0";"0";"1";"1";"1";"2";"0";"1";"0"
"Nieuwendijk-Noord";"1";"0";"2";"2";"6";"1";"2";"2";"5";"0";"3";"0"
"Spuistraat-Noord";"1";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"2"
"Nieuwe Kerk e.o.";"1";"0";"0";"2";"2";"2";"6";"4";"2";"3";"2";"0"
"Spuistraat-Zuid";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"2";"1"
"Begijnhofbuurt";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1"
"Kalverdriehoek";"0";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Oude Zijde";"2";"4";"2";"5";"5";"4";"5";"11";"13";"2";"0";"2"
"Kop Zeedijk";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0"
"Oude Kerk e.o.";"1";"3";"1";"1";"2";"2";"4";"10";"8";"1";"0";"1"
