"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.1.1 Drugshandel"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"1260";"1420";"1582";"1566";"1310";"1250";"1305";"1400";"963";"908";"1255";"1515"
"Haarlemmerbuurt";"13";"29";"44";"31";"23";"16";"5";"9";"7";"11";"21";"18"
"Planciusbuurt-Noord";"0";"0";"1";"0";"0";"1";"2";"0";"1";"0";"0";"0"
"Westelijke eilanden";"1";"1";"0";"0";"0";"0";"0";"3";"0";"3";"1";"2"
"Westerdokseiland";"0";"1";"1";"2";"3";"4";"1";"2";"4";"0";"2";"1"
"Planciusbuurt-Zuid";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Haarlemmerbuurt-West";"2";"10";"8";"3";"1";"2";"1";"3";"0";"6";"7";"7"
"Haarlemmerbuurt-Oost";"10";"16";"34";"26";"19";"9";"1";"1";"2";"2";"11";"7"
"Jordaan";"12";"10";"16";"15";"10";"12";"15";"35";"33";"16";"67";"68"
"Marnixbuurt-Noord";"0";"0";"1";"1";"2";"1";"1";"1";"1";"1";"10";"9"
"Driehoekbuurt";"0";"1";"0";"1";"0";"0";"0";"2";"1";"1";"10";"3"
"Anjeliersbuurt-Noord";"0";"1";"1";"2";"0";"1";"2";"3";"0";"3";"5";"4"
"Zaagpoortbuurt";"0";"2";"0";"0";"0";"0";"1";"0";"2";"0";"5";"8"
"Anjeliersbuurt-Zuid";"1";"0";"1";"2";"1";"0";"0";"0";"1";"0";"7";"3"
"Marnixbuurt-Midden";"0";"1";"1";"0";"0";"2";"2";"0";"1";"0";"1";"0"
"Bloemgrachtbuurt";"1";"1";"0";"0";"1";"0";"0";"2";"2";"1";"1";"7"
"Groenmarktkadebuurt";"0";"2";"2";"2";"3";"4";"1";"9";"14";"2";"4";"5"
"Marnixbuurt-Zuid";"4";"1";"7";"5";"1";"0";"4";"13";"7";"6";"19";"11"
"Elandsgrachtbuurt";"4";"1";"3";"1";"2";"3";"3";"5";"4";"2";"5";"11"
"Passeerdersgrachtbuurt";"2";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"7"
"Grachtengordel-West";"9";"7";"4";"5";"4";"12";"3";"8";"7";"3";"8";"18"
"Langestraat e.o.";"2";"1";"0";"2";"0";"4";"0";"2";"1";"0";"1";"4"
"Leliegracht e.o.";"3";"4";"0";"1";"1";"0";"1";"2";"2";"2";"0";"6"
"Felix Meritisbuurt";"1";"2";"4";"1";"2";"6";"1";"3";"3";"1";"5";"6"
"Leidsegracht-Noord";"3";"0";"0";"1";"1";"2";"1";"1";"1";"0";"2";"2"
"Burgwallen-Nieuwe Zijde";"37";"50";"61";"53";"74";"40";"73";"79";"34";"44";"39";"42"
"Stationsplein e.o.";"9";"21";"20";"14";"16";"15";"21";"27";"13";"14";"18";"12"
"Hemelrijk";"6";"4";"6";"5";"8";"4";"6";"3";"1";"2";"7";"4"
"Nieuwendijk-Noord";"7";"7";"12";"6";"9";"6";"17";"13";"4";"11";"7";"8"
"Spuistraat-Noord";"2";"5";"3";"2";"4";"3";"4";"7";"2";"2";"1";"3"
"Nieuwe Kerk e.o.";"4";"6";"7";"11";"8";"3";"10";"3";"4";"4";"3";"5"
"Spuistraat-Zuid";"4";"1";"3";"4";"6";"4";"11";"8";"1";"7";"2";"6"
"Begijnhofbuurt";"4";"4";"5";"6";"12";"1";"1";"4";"4";"3";"0";"4"
"Kalverdriehoek";"1";"2";"5";"5";"11";"4";"3";"14";"5";"1";"1";"0"
"Burgwallen-Oude Zijde";"76";"69";"118";"106";"137";"174";"202";"197";"81";"54";"92";"69"
"Kop Zeedijk";"5";"9";"16";"14";"27";"24";"41";"31";"18";"2";"21";"21"
"Oude Kerk e.o.";"41";"33";"41";"44";"41";"62";"63";"68";"32";"22";"20";"24"
"Burgwallen-Oost";"23";"23";"51";"43";"61";"78";"90";"80";"26";"26";"45";"22"
"Nes e.o.";"5";"4";"6";"2";"5";"5";"4";"4";"2";"1";"4";"2"
"BG-terrein e.o.";"2";"0";"4";"3";"3";"5";"4";"14";"3";"3";"2";"0"
"Nieuwmarkt/Lastage";"66";"113";"71";"60";"41";"32";"38";"38";"14";"12";"22";"57"
"Oosterdokseiland";"2";"1";"0";"1";"0";"1";"2";"0";"0";"1";"3";"2"
"Lastage";"1";"2";"4";"3";"6";"3";"2";"3";"0";"0";"2";"12"
"Scheepvaarthuisbuurt";"1";"4";"1";"4";"1";"2";"4";"6";"5";"0";"4";"25"
"Rapenburg";"1";"1";"0";"1";"1";"0";"3";"4";"1";"2";"2";"2"
"Nieuwmarkt";"9";"18";"20";"16";"13";"11";"9";"7";"2";"3";"6";"8"
"Uilenburg";"6";"13";"1";"1";"4";"4";"3";"6";"2";"2";"3";"1"
"Valkenburg";"0";"3";"3";"0";"2";"1";"0";"1";"0";"0";"2";"4"
"Zuiderkerkbuurt";"17";"39";"19";"18";"7";"9";"4";"6";"2";"3";"0";"2"
"Waterloopleinbuurt";"29";"32";"23";"16";"7";"1";"11";"5";"2";"1";"0";"1"
"Grachtengordel-Zuid";"80";"71";"91";"77";"69";"48";"55";"63";"14";"5";"21";"38"
"Leidsegracht-Zuid";"1";"0";"5";"2";"4";"1";"4";"5";"2";"0";"2";"2"
"Geelvinckbuurt";"2";"4";"3";"7";"7";"4";"13";"8";"1";"1";"0";"7"
"Rembrandtplein e.o.";"70";"60";"69";"60";"50";"39";"30";"46";"10";"0";"16";"10"
"Spiegelbuurt";"3";"3";"6";"1";"3";"0";"4";"2";"1";"1";"1";"5"
"Vijzelstraatbuurt";"1";"3";"2";"3";"3";"3";"2";"1";"0";"1";"2";"12"
"Amstelveldbuurt";"3";"1";"6";"4";"2";"1";"2";"1";"0";"2";"0";"2"
"De Weteringschans";"78";"76";"82";"101";"80";"105";"72";"53";"15";"11";"20";"66"
"Leidsebuurt-Noordwest";"14";"7";"20";"45";"37";"27";"18";"9";"2";"2";"6";"12"
"Leidsebuurt-Noordoost";"11";"17";"20";"10";"11";"9";"7";"6";"4";"0";"2";"16"
"Weteringbuurt";"1";"0";"1";"0";"1";"3";"2";"1";"0";"4";"0";"7"
"Utrechtsebuurt-Zuid";"0";"5";"1";"1";"0";"0";"2";"0";"0";"0";"1";"1"
"Leidsebuurt-Zuidwest";"18";"22";"23";"26";"14";"42";"29";"25";"5";"1";"5";"13"
"Leidsebuurt-Zuidoost";"30";"23";"15";"17";"13";"23";"9";"7";"1";"2";"4";"6"
"Den Texbuurt";"2";"0";"1";"0";"2";"1";"3";"2";"1";"2";"1";"10"
"Frederikspleinbuurt";"2";"2";"1";"2";"2";"0";"2";"3";"2";"0";"1";"1"
"Weesperbuurt/Plantage";"20";"8";"15";"2";"5";"2";"6";"4";"20";"11";"4";"14"
"Weesperbuurt";"17";"1";"9";"0";"3";"0";"2";"1";"5";"1";"1";"3"
"Plantage";"0";"3";"1";"1";"0";"0";"1";"1";"7";"2";"1";"7"
"Sarphatistrook";"3";"4";"5";"1";"2";"1";"2";"2";"8";"8";"2";"3"
"Alexanderplein e.o.";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1"
"Oostelijke Eilanden/Kadijken";"4";"11";"8";"0";"4";"5";"6";"7";"9";"12";"8";"16"
"Marine-Etablissement";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1"
"Kattenburg";"0";"1";"1";"0";"2";"1";"1";"0";"0";"3";"0";"0"
"Wittenburg";"0";"2";"0";"0";"2";"1";"1";"2";"1";"2";"1";"2"
"Oostenburg";"0";"2";"2";"0";"0";"0";"0";"0";"2";"3";"1";"0"
"Czaar Peterbuurt";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"1";"5"
"Het Funen";"1";"0";"2";"0";"0";"0";"1";"0";"0";"2";"2";"2"
"Kadijken";"2";"1";"2";"0";"0";"1";"2";"0";"5";"0";"2";"1"
"Kazernebuurt";"0";"4";"0";"0";"0";"1";"1";"2";"1";"1";"0";"5"
"Havens-West";"3";"4";"2";"3";"6";"3";"7";"9";"7";"2";"10";"0"
"Afrikahaven";"0";"1";"0";"0";"3";"0";"0";"1";"1";"0";"2";"0"
"Amerikahaven";"1";"1";"1";"2";"1";"2";"4";"3";"3";"1";"1";"0"
"Westhaven-Noord";"1";"1";"1";"1";"1";"0";"2";"3";"3";"1";"3";"0"
"Petroleumhaven";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vervoerscentrum";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0"
"Westhaven-Zuid";"0";"1";"0";"0";"1";"0";"0";"2";"0";"0";"2";"0"
"Coenhaven/Minervahaven";"1";"1";"1";"1";"7";"11";"16";"9";"1";"6";"6";"14"
"Coenhaven";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Vlothaven";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0"
"Minervahaven-Noordoost";"0";"0";"0";"0";"1";"2";"0";"0";"0";"3";"0";"10"
"Minervahaven-Noordwest";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Minervahaven-Zuidoost";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"1";"6";"8";"11";"9";"0";"3";"4";"1"
"Sloterdijk-West";"2";"1";"1";"15";"10";"20";"12";"17";"15";"14";"13";"8"
"Isolatorbuurt";"1";"1";"0";"12";"6";"19";"10";"16";"6";"7";"5";"6"
"Contactbuurt";"0";"0";"1";"3";"3";"1";"2";"1";"9";"6";"8";"2"
"Woon- en Groengebied Sloterdijk";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"28";"34";"45";"34";"42";"50";"52";"43";"10";"10";"11";"16"
