"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.1.3 Wapenhandel"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"777";"497";"456";"512";"560";"473";"501";"546";"478";"494";"428";"409"
"Haarlemmerbuurt";"6";"5";"1";"6";"10";"2";"2";"4";"2";"3";"4";"9"
"Planciusbuurt-Noord";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"3"
"Westerdokseiland";"0";"0";"0";"4";"5";"1";"2";"1";"1";"2";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"2";"0";"0";"0";"2";"0";"0";"2";"0";"1";"4";"2"
"Haarlemmerbuurt-Oost";"4";"3";"1";"0";"3";"1";"0";"1";"0";"0";"0";"4"
"Jordaan";"4";"7";"4";"3";"7";"4";"5";"8";"6";"13";"7";"11"
"Marnixbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Driehoekbuurt";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"0";"0"
"Anjeliersbuurt-Noord";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"0";"1"
"Zaagpoortbuurt";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1"
"Anjeliersbuurt-Zuid";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"2";"2"
"Marnixbuurt-Midden";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"1";"0";"0";"2";"1";"2";"0";"0";"0";"0";"1"
"Groenmarktkadebuurt";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0"
"Marnixbuurt-Zuid";"0";"1";"2";"0";"0";"1";"3";"4";"3";"0";"4";"3"
"Elandsgrachtbuurt";"3";"3";"1";"2";"1";"0";"0";"2";"1";"4";"0";"2"
"Passeerdersgrachtbuurt";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Grachtengordel-West";"1";"2";"0";"0";"0";"2";"0";"0";"2";"3";"3";"2"
"Langestraat e.o.";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Leliegracht e.o.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Felix Meritisbuurt";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"3";"2"
"Leidsegracht-Noord";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"Burgwallen-Nieuwe Zijde";"21";"21";"15";"23";"16";"22";"21";"26";"30";"32";"29";"25"
"Stationsplein e.o.";"11";"11";"10";"18";"11";"14";"9";"16";"21";"16";"19";"9"
"Hemelrijk";"0";"1";"1";"1";"3";"1";"2";"1";"3";"2";"1";"3"
"Nieuwendijk-Noord";"4";"1";"1";"1";"2";"3";"7";"4";"2";"6";"5";"3"
"Spuistraat-Noord";"3";"2";"1";"2";"0";"1";"1";"0";"0";"1";"2";"2"
"Nieuwe Kerk e.o.";"2";"3";"1";"0";"0";"2";"1";"3";"3";"5";"0";"4"
"Spuistraat-Zuid";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"1";"2"
"Begijnhofbuurt";"1";"1";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1"
"Kalverdriehoek";"0";"1";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1"
"Burgwallen-Oude Zijde";"21";"14";"15";"15";"14";"17";"10";"24";"11";"11";"13";"10"
"Kop Zeedijk";"2";"3";"2";"3";"1";"2";"1";"3";"1";"1";"3";"1"
"Oude Kerk e.o.";"11";"8";"7";"6";"9";"7";"8";"9";"5";"2";"5";"2"
"Burgwallen-Oost";"4";"1";"6";"3";"4";"4";"1";"10";"1";"6";"3";"4"
"Nes e.o.";"2";"1";"0";"0";"0";"0";"0";"1";"2";"2";"2";"2"
"BG-terrein e.o.";"2";"1";"0";"3";"0";"4";"0";"1";"2";"0";"0";"1"
"Nieuwmarkt/Lastage";"9";"9";"16";"8";"6";"11";"6";"12";"3";"6";"4";"7"
"Oosterdokseiland";"0";"2";"1";"0";"0";"2";"0";"3";"0";"0";"0";"1"
"Lastage";"0";"0";"1";"0";"0";"2";"1";"0";"1";"0";"0";"1"
