"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.5.2 Onder invloed (weg)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"2770";"2118";"1958";"1660";"1522";"1484";"1410";"1515";"1245";"1569";"2091";"2211"
"Haarlemmerbuurt";"16";"28";"7";"10";"15";"17";"7";"11";"11";"25";"34";"29"
"Planciusbuurt-Noord";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Westelijke eilanden";"1";"3";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Westerdokseiland";"1";"2";"0";"3";"2";"7";"2";"4";"3";"18";"14";"12"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"9";"13";"5";"4";"8";"5";"1";"2";"3";"2";"6";"6"
"Haarlemmerbuurt-Oost";"5";"9";"1";"2";"5";"5";"4";"4";"4";"3";"14";"11"
"Jordaan";"48";"66";"49";"56";"31";"43";"36";"16";"33";"22";"85";"60"
"Marnixbuurt-Noord";"3";"5";"0";"3";"1";"3";"2";"2";"1";"2";"1";"3"
"Driehoekbuurt";"1";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0"
"Anjeliersbuurt-Noord";"1";"1";"1";"1";"1";"1";"0";"0";"1";"0";"1";"3"
"Zaagpoortbuurt";"3";"4";"1";"1";"2";"1";"0";"1";"1";"5";"2";"3"
"Anjeliersbuurt-Zuid";"0";"3";"3";"1";"1";"4";"1";"0";"0";"2";"2";"3"
"Marnixbuurt-Midden";"4";"4";"2";"0";"1";"1";"1";"0";"2";"0";"1";"1"
"Bloemgrachtbuurt";"5";"4";"4";"3";"3";"4";"7";"0";"2";"0";"8";"4"
"Groenmarktkadebuurt";"16";"24";"25";"25";"7";"11";"15";"1";"12";"4";"46";"19"
"Marnixbuurt-Zuid";"5";"11";"4";"4";"5";"6";"2";"2";"5";"3";"17";"16"
"Elandsgrachtbuurt";"6";"8";"5";"18";"10";"11";"8";"8";"9";"5";"6";"8"
"Passeerdersgrachtbuurt";"4";"2";"3";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Grachtengordel-West";"20";"13";"20";"18";"20";"19";"13";"16";"11";"13";"22";"25"
"Langestraat e.o.";"1";"1";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0"
"Leliegracht e.o.";"6";"4";"4";"5";"6";"6";"3";"5";"5";"6";"6";"10"
"Felix Meritisbuurt";"6";"3";"12";"3";"10";"7";"7";"3";"2";"5";"10";"10"
"Leidsegracht-Noord";"7";"5";"4";"9";"3";"6";"3";"7";"3";"2";"6";"5"
"Burgwallen-Nieuwe Zijde";"56";"54";"28";"29";"56";"46";"38";"44";"25";"62";"67";"43"
"Stationsplein e.o.";"13";"17";"8";"6";"20";"8";"1";"8";"5";"39";"15";"13"
"Hemelrijk";"2";"6";"0";"5";"1";"5";"5";"1";"2";"1";"6";"5"
"Nieuwendijk-Noord";"3";"1";"1";"3";"11";"1";"5";"4";"3";"5";"18";"6"
"Spuistraat-Noord";"15";"8";"3";"1";"1";"6";"6";"2";"4";"3";"4";"3"
"Nieuwe Kerk e.o.";"5";"5";"1";"3";"2";"4";"4";"6";"4";"5";"6";"4"
"Spuistraat-Zuid";"6";"7";"5";"7";"7";"9";"7";"4";"2";"3";"5";"3"
"Begijnhofbuurt";"6";"6";"6";"2";"8";"8";"7";"10";"2";"3";"5";"7"
"Kalverdriehoek";"6";"4";"4";"2";"6";"5";"3";"9";"3";"3";"8";"2"
"Burgwallen-Oude Zijde";"42";"22";"28";"27";"18";"43";"24";"25";"21";"38";"45";"20"
"Kop Zeedijk";"9";"2";"4";"8";"2";"7";"5";"4";"2";"2";"10";"1"
"Oude Kerk e.o.";"17";"9";"9";"9";"8";"27";"10";"15";"10";"23";"18";"11"
"Burgwallen-Oost";"9";"6";"8";"5";"4";"5";"3";"1";"4";"4";"5";"4"
"Nes e.o.";"4";"2";"5";"4";"2";"3";"2";"4";"5";"6";"7";"2"
"BG-terrein e.o.";"3";"3";"2";"1";"2";"1";"4";"1";"0";"3";"5";"2"
"Nieuwmarkt/Lastage";"49";"39";"31";"45";"48";"42";"54";"42";"28";"56";"82";"57"
"Oosterdokseiland";"2";"4";"0";"2";"2";"1";"2";"4";"1";"3";"7";"2"
"Lastage";"3";"2";"1";"5";"1";"5";"3";"8";"1";"2";"3";"2"
"Scheepvaarthuisbuurt";"6";"8";"11";"10";"15";"14";"20";"8";"13";"19";"29";"15"
"Rapenburg";"3";"1";"2";"2";"4";"2";"4";"1";"0";"13";"14";"6"
"Nieuwmarkt";"6";"3";"2";"3";"4";"3";"3";"5";"4";"4";"1";"2"
"Uilenburg";"5";"7";"4";"8";"10";"7";"5";"3";"3";"5";"7";"13"
"Valkenburg";"4";"3";"1";"2";"1";"2";"5";"3";"1";"3";"6";"5"
"Zuiderkerkbuurt";"2";"2";"0";"3";"3";"3";"0";"4";"1";"2";"3";"5"
"Waterloopleinbuurt";"18";"9";"10";"10";"8";"5";"12";"6";"4";"5";"12";"7"
"Grachtengordel-Zuid";"95";"68";"46";"43";"65";"53";"37";"30";"28";"28";"60";"59"
"Leidsegracht-Zuid";"7";"5";"1";"2";"8";"6";"2";"4";"3";"0";"4";"7"
"Geelvinckbuurt";"11";"1";"3";"4";"5";"4";"7";"4";"0";"4";"2";"5"
"Rembrandtplein e.o.";"21";"22";"24";"16";"18";"23";"13";"8";"11";"12";"27";"11"
"Spiegelbuurt";"12";"8";"6";"4";"9";"7";"4";"8";"3";"3";"8";"13"
"Vijzelstraatbuurt";"38";"28";"4";"7";"17";"5";"9";"6";"5";"3";"13";"17"
"Amstelveldbuurt";"6";"4";"8";"10";"8";"8";"2";"0";"6";"6";"6";"6"
"De Weteringschans";"95";"61";"55";"48";"37";"47";"33";"37";"17";"35";"46";"48"
"Leidsebuurt-Noordwest";"8";"2";"3";"4";"1";"4";"7";"3";"0";"3";"2";"11"
"Leidsebuurt-Noordoost";"16";"10";"10";"10";"6";"12";"3";"10";"2";"2";"8";"8"
"Weteringbuurt";"36";"15";"9";"6";"8";"8";"5";"12";"1";"3";"5";"4"
"Utrechtsebuurt-Zuid";"2";"1";"1";"3";"0";"2";"2";"0";"1";"2";"2";"1"
"Leidsebuurt-Zuidwest";"7";"7";"13";"8";"2";"4";"6";"4";"2";"10";"8";"8"
"Leidsebuurt-Zuidoost";"11";"6";"5";"5";"6";"7";"3";"4";"0";"1";"4";"3"
"Den Texbuurt";"11";"9";"10";"2";"12";"5";"6";"2";"5";"7";"11";"7"
"Frederikspleinbuurt";"4";"11";"4";"10";"2";"5";"1";"2";"6";"7";"6";"6"
"Weesperbuurt/Plantage";"12";"17";"13";"11";"13";"20";"12";"12";"11";"21";"20";"24"
"Weesperbuurt";"4";"5";"8";"3";"2";"10";"4";"5";"2";"6";"8";"6"
"Plantage";"3";"1";"0";"1";"2";"4";"3";"0";"0";"2";"2";"7"
"Sarphatistrook";"5";"8";"5";"7";"9";"6";"5";"7";"8";"13";"10";"11"
"Alexanderplein e.o.";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Oostelijke Eilanden/Kadijken";"11";"15";"7";"11";"14";"10";"19";"8";"10";"12";"11";"21"
"Marine-Etablissement";"4";"4";"0";"3";"5";"0";"10";"2";"5";"5";"3";"8"
"Kattenburg";"0";"1";"1";"1";"1";"2";"1";"1";"1";"2";"3";"1"
"Wittenburg";"0";"3";"0";"3";"1";"1";"1";"1";"0";"0";"2";"2"
"Oostenburg";"1";"3";"0";"1";"1";"0";"1";"0";"0";"2";"0";"3"
"Czaar Peterbuurt";"1";"4";"2";"1";"2";"2";"3";"2";"0";"0";"2";"2"
"Het Funen";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Kadijken";"2";"0";"1";"0";"3";"5";"2";"1";"4";"2";"1";"4"
"Kazernebuurt";"2";"0";"3";"2";"1";"0";"0";"1";"0";"0";"0";"1"
"Havens-West";"14";"13";"15";"4";"7";"14";"12";"20";"16";"17";"17";"25"
"Afrikahaven";"0";"0";"2";"0";"0";"0";"1";"1";"1";"1";"0";"1"
"Amerikahaven";"4";"1";"5";"0";"5";"6";"1";"3";"6";"6";"7";"9"
"Westhaven-Noord";"1";"1";"1";"2";"2";"0";"0";"6";"2";"2";"0";"3"
"Petroleumhaven";"2";"1";"1";"1";"0";"1";"2";"0";"3";"0";"1";"2"
"Vervoerscentrum";"2";"1";"1";"0";"0";"0";"1";"3";"0";"2";"2";"0"
"Westhaven-Zuid";"5";"9";"5";"1";"0";"7";"7";"7";"4";"6";"7";"10"
"Coenhaven/Minervahaven";"8";"7";"22";"7";"6";"5";"5";"6";"6";"9";"6";"12"
"Coenhaven";"0";"1";"3";"2";"1";"2";"1";"0";"0";"2";"1";"1"
"Vlothaven";"7";"5";"15";"5";"2";"2";"2";"4";"4";"4";"5";"9"
"Minervahaven-Noordoost";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Minervahaven-Noordwest";"1";"1";"3";"0";"0";"1";"1";"0";"1";"1";"0";"1"
"Minervahaven-Zuidwest";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
"Minervahaven-Zuidoost";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Alfa-driehoek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Hemknoop-Noord";"0";"0";"0";"0";"1";"0";"1";"2";"1";"0";"0";"0"
"Sloterdijk-West";"29";"21";"12";"5";"8";"11";"9";"8";"6";"15";"6";"13"
"Isolatorbuurt";"25";"19";"8";"2";"6";"9";"7";"4";"2";"8";"5";"11"
"Contactbuurt";"1";"0";"1";"1";"0";"2";"1";"2";"3";"4";"1";"2"
"Woon- en Groengebied Sloterdijk";"3";"2";"3";"2";"2";"0";"1";"2";"1";"3";"0";"0"
"Spaarndammerbuurt/Zeeheldenbuurt";"18";"24";"10";"22";"19";"13";"12";"8";"13";"24";"9";"13"
"Hemknoop-Zuid";"2";"2";"2";"0";"1";"0";"1";"2";"0";"1";"0";"0"
