"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.5.5 Weg (overig)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"394";"446";"509";"401";"456";"416";"387";"478";"623";"625";"740";"702"
"Haarlemmerbuurt";"2";"3";"6";"4";"9";"6";"2";"5";"4";"5";"6";"4"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Westerdokseiland";"0";"1";"2";"4";"2";"3";"0";"2";"3";"1";"3";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"0";"0";"3";"0";"2";"0";"1";"1";"0";"2";"0";"2"
"Haarlemmerbuurt-Oost";"2";"2";"1";"0";"5";"3";"1";"1";"1";"2";"3";"1"
"Jordaan";"7";"5";"8";"4";"5";"10";"10";"6";"9";"5";"11";"13"
"Marnixbuurt-Noord";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0"
"Driehoekbuurt";"1";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"2"
"Anjeliersbuurt-Noord";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0"
"Zaagpoortbuurt";"1";"1";"1";"0";"0";"0";"0";"2";"0";"1";"1";"1"
"Anjeliersbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"0";"0";"1";"0";"2";"3";"0";"1";"0";"0";"3"
"Groenmarktkadebuurt";"3";"1";"5";"0";"2";"4";"4";"2";"3";"1";"7";"1"
"Marnixbuurt-Zuid";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Elandsgrachtbuurt";"1";"1";"2";"0";"2";"2";"2";"1";"1";"2";"2";"5"
"Passeerdersgrachtbuurt";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Grachtengordel-West";"1";"0";"4";"1";"7";"2";"3";"5";"3";"3";"2";"4"
"Langestraat e.o.";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1"
"Leliegracht e.o.";"0";"0";"0";"0";"3";"1";"1";"0";"1";"2";"0";"0"
"Felix Meritisbuurt";"1";"0";"2";"0";"2";"1";"2";"2";"2";"1";"0";"3"
"Leidsegracht-Noord";"0";"0";"0";"1";"2";"0";"0";"2";"0";"0";"2";"0"
"Burgwallen-Nieuwe Zijde";"4";"14";"9";"11";"13";"14";"12";"13";"11";"22";"9";"18"
"Stationsplein e.o.";"4";"9";"6";"1";"1";"3";"3";"3";"3";"8";"3";"8"
"Hemelrijk";"0";"0";"0";"4";"1";"2";"2";"2";"2";"1";"2";"1"
"Nieuwendijk-Noord";"0";"0";"0";"1";"2";"0";"3";"3";"3";"2";"2";"3"
"Spuistraat-Noord";"0";"0";"1";"3";"4";"4";"0";"1";"2";"4";"0";"2"
"Nieuwe Kerk e.o.";"0";"1";"1";"1";"2";"3";"1";"1";"0";"3";"0";"0"
"Spuistraat-Zuid";"0";"4";"0";"0";"1";"0";"2";"1";"0";"2";"0";"2"
"Begijnhofbuurt";"0";"0";"0";"0";"1";"2";"0";"0";"0";"1";"1";"1"
"Kalverdriehoek";"0";"0";"1";"1";"1";"0";"1";"2";"1";"1";"1";"1"
"Burgwallen-Oude Zijde";"8";"2";"7";"5";"7";"9";"9";"7";"5";"5";"11";"10"
"Kop Zeedijk";"2";"0";"2";"0";"0";"2";"0";"1";"0";"1";"5";"3"
"Oude Kerk e.o.";"4";"1";"3";"5";"4";"5";"6";"3";"2";"3";"2";"1"
"Burgwallen-Oost";"1";"1";"1";"0";"3";"2";"1";"1";"1";"0";"0";"0"
"Nes e.o.";"0";"0";"0";"0";"0";"0";"2";"2";"1";"1";"4";"5"
"BG-terrein e.o.";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"Nieuwmarkt/Lastage";"7";"5";"5";"8";"11";"20";"16";"27";"21";"27";"25";"26"
"Oosterdokseiland";"0";"0";"1";"0";"1";"1";"4";"2";"0";"1";"3";"1"
"Lastage";"2";"0";"2";"0";"0";"3";"0";"0";"1";"1";"0";"0"
"Scheepvaarthuisbuurt";"2";"2";"0";"2";"5";"6";"4";"12";"6";"7";"8";"5"
"Rapenburg";"0";"0";"0";"1";"0";"0";"3";"2";"0";"0";"4";"2"
"Nieuwmarkt";"1";"0";"1";"2";"0";"3";"1";"2";"0";"2";"0";"0"
"Uilenburg";"2";"2";"1";"1";"3";"2";"0";"2";"4";"6";"4";"6"
"Valkenburg";"0";"0";"0";"0";"0";"1";"1";"3";"1";"4";"2";"5"
"Zuiderkerkbuurt";"0";"0";"0";"1";"1";"1";"2";"2";"3";"2";"1";"2"
"Waterloopleinbuurt";"0";"1";"0";"1";"1";"3";"1";"2";"6";"4";"3";"5"
"Grachtengordel-Zuid";"1";"2";"5";"2";"10";"3";"9";"6";"6";"7";"6";"10"
"Leidsegracht-Zuid";"0";"0";"3";"0";"1";"0";"0";"0";"0";"2";"0";"1"
"Geelvinckbuurt";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0"
"Rembrandtplein e.o.";"1";"2";"0";"1";"2";"1";"1";"2";"2";"2";"4";"2"
"Spiegelbuurt";"0";"0";"2";"1";"0";"0";"2";"1";"2";"1";"0";"3"
"Vijzelstraatbuurt";"0";"0";"0";"0";"4";"1";"1";"1";"0";"2";"1";"1"
"Amstelveldbuurt";"0";"0";"0";"0";"2";"1";"4";"2";"2";"0";"0";"3"
"De Weteringschans";"3";"4";"6";"5";"8";"6";"9";"6";"4";"2";"5";"9"
"Leidsebuurt-Noordwest";"0";"1";"0";"0";"1";"1";"2";"1";"0";"0";"0";"2"
"Leidsebuurt-Noordoost";"0";"0";"0";"2";"0";"1";"2";"1";"0";"2";"0";"0"
"Weteringbuurt";"1";"0";"2";"0";"0";"1";"0";"1";"2";"0";"0";"0"
"Utrechtsebuurt-Zuid";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1"
"Leidsebuurt-Zuidwest";"0";"1";"4";"0";"0";"0";"1";"0";"0";"0";"1";"0"
"Leidsebuurt-Zuidoost";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0"
"Den Texbuurt";"0";"1";"0";"0";"2";"1";"2";"0";"1";"0";"2";"2"
"Frederikspleinbuurt";"2";"0";"0";"2";"2";"2";"2";"2";"0";"0";"2";"4"
"Weesperbuurt/Plantage";"3";"0";"4";"2";"2";"3";"3";"5";"7";"8";"11";"13"
