"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.7.2 Vreemdelingenzorg"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"204";"212";"179";"183";"155";"101";"88";"21";"10";"55";"24";"22"
"Haarlemmerbuurt";"5";"8";"8";"13";"11";"4";"1";"0";"0";"1";"3";"0"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"1";"1";"3";"0";"5";"2";"0";"0";"0";"0";"2";"0"
"Haarlemmerbuurt-Oost";"4";"7";"5";"12";"6";"1";"1";"0";"0";"1";"1";"0"
"Jordaan";"5";"7";"4";"5";"5";"4";"3";"1";"1";"3";"0";"1"
"Marnixbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaagpoortbuurt";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Marnixbuurt-Midden";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Groenmarktkadebuurt";"2";"2";"1";"0";"3";"2";"1";"0";"1";"0";"0";"0"
"Marnixbuurt-Zuid";"1";"2";"2";"2";"1";"0";"1";"0";"0";"3";"0";"1"
"Elandsgrachtbuurt";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0"
"Passeerdersgrachtbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Grachtengordel-West";"4";"4";"1";"4";"2";"1";"1";"0";"0";"1";"0";"0"
"Langestraat e.o.";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Leliegracht e.o.";"1";"2";"0";"1";"0";"1";"1";"0";"0";"1";"0";"0"
"Felix Meritisbuurt";"2";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Leidsegracht-Noord";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Burgwallen-Nieuwe Zijde";"29";"18";"16";"17";"25";"19";"30";"8";"2";"9";"7";"3"
"Stationsplein e.o.";"6";"9";"7";"10";"19";"8";"8";"1";"0";"2";"2";"2"
"Hemelrijk";"10";"2";"2";"2";"2";"1";"1";"1";"1";"2";"1";"0"
"Nieuwendijk-Noord";"4";"0";"3";"1";"3";"6";"7";"5";"0";"2";"2";"1"
"Spuistraat-Noord";"1";"1";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0"
"Nieuwe Kerk e.o.";"5";"5";"2";"2";"1";"1";"2";"0";"0";"1";"1";"0"
"Spuistraat-Zuid";"1";"0";"0";"0";"0";"0";"4";"1";"0";"2";"0";"0"
"Begijnhofbuurt";"0";"1";"1";"2";"0";"2";"1";"0";"1";"0";"1";"0"
"Kalverdriehoek";"2";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0"
"Burgwallen-Oude Zijde";"33";"39";"23";"24";"13";"13";"16";"3";"1";"6";"4";"2"
