"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.7.4 Cybercrime"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"99";"71";"97";"132";"196";"210";"301";"316";"793";"1249";"879";"833"
"Haarlemmerbuurt";"0";"1";"2";"3";"3";"3";"1";"7";"11";"23";"21";"17"
"Planciusbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Westelijke eilanden";"0";"0";"0";"1";"0";"2";"0";"3";"4";"4";"8";"6"
"Westerdokseiland";"0";"1";"0";"1";"2";"0";"0";"3";"6";"2";"3";"2"
"Planciusbuurt-Zuid";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"Haarlemmerbuurt-West";"0";"0";"2";"0";"1";"0";"0";"0";"0";"12";"2";"7"
"Haarlemmerbuurt-Oost";"0";"0";"0";"1";"0";"1";"1";"1";"1";"3";"8";"1"
"Jordaan";"0";"1";"0";"3";"5";"4";"7";"10";"36";"59";"35";"21"
"Marnixbuurt-Noord";"0";"0";"0";"0";"0";"0";"0";"1";"2";"6";"2";"3"
"Driehoekbuurt";"0";"0";"0";"0";"0";"0";"0";"2";"5";"5";"5";"3"
"Anjeliersbuurt-Noord";"0";"0";"0";"1";"1";"0";"0";"1";"4";"7";"5";"3"
"Zaagpoortbuurt";"0";"0";"0";"0";"1";"0";"1";"2";"2";"0";"0";"0"
"Anjeliersbuurt-Zuid";"0";"0";"0";"0";"0";"0";"2";"1";"5";"10";"2";"1"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Bloemgrachtbuurt";"0";"1";"0";"1";"0";"0";"1";"1";"6";"8";"5";"1"
"Groenmarktkadebuurt";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1"
"Marnixbuurt-Zuid";"0";"0";"0";"0";"1";"1";"1";"0";"0";"5";"1";"0"
"Elandsgrachtbuurt";"0";"0";"0";"1";"2";"3";"1";"2";"8";"16";"10";"8"
"Passeerdersgrachtbuurt";"0";"0";"0";"0";"0";"0";"1";"0";"3";"2";"2";"1"
"Grachtengordel-West";"1";"0";"1";"1";"5";"1";"2";"4";"21";"20";"18";"9"
"Langestraat e.o.";"1";"0";"0";"0";"1";"1";"2";"1";"5";"3";"4";"1"
"Leliegracht e.o.";"0";"0";"0";"0";"1";"0";"0";"2";"3";"4";"4";"0"
"Felix Meritisbuurt";"0";"0";"1";"1";"1";"0";"0";"1";"11";"11";"9";"7"
"Leidsegracht-Noord";"0";"0";"0";"0";"2";"0";"0";"0";"2";"2";"1";"1"
"Burgwallen-Nieuwe Zijde";"0";"1";"3";"1";"2";"3";"8";"9";"4";"16";"12";"12"
"Stationsplein e.o.";"0";"1";"0";"0";"2";"0";"3";"2";"1";"1";"2";"6"
"Hemelrijk";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"1";"1"
"Nieuwendijk-Noord";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"2";"1"
"Spuistraat-Noord";"0";"0";"0";"0";"0";"0";"1";"0";"3";"4";"1";"1"
"Nieuwe Kerk e.o.";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1"
"Spuistraat-Zuid";"0";"0";"1";"0";"0";"2";"0";"2";"0";"2";"1";"1"
"Begijnhofbuurt";"0";"0";"1";"0";"0";"1";"3";"2";"0";"1";"1";"1"
"Kalverdriehoek";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Burgwallen-Oude Zijde";"0";"1";"1";"0";"1";"0";"5";"5";"2";"9";"10";"16"
"Kop Zeedijk";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1";"4";"3"
"Oude Kerk e.o.";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"2"
"Burgwallen-Oost";"0";"0";"0";"0";"0";"0";"3";"1";"0";"2";"4";"8"
"Nes e.o.";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1";"1"
"BG-terrein e.o.";"0";"0";"0";"0";"0";"0";"0";"1";"1";"5";"0";"2"
"Nieuwmarkt/Lastage";"4";"1";"3";"3";"5";"1";"6";"8";"22";"28";"24";"28"
"Oosterdokseiland";"0";"1";"1";"0";"0";"0";"2";"1";"5";"2";"0";"1"
"Lastage";"0";"0";"0";"1";"0";"0";"0";"1";"0";"6";"7";"6"
"Scheepvaarthuisbuurt";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1"
"Rapenburg";"0";"0";"1";"0";"2";"0";"0";"1";"2";"2";"0";"1"
"Nieuwmarkt";"1";"0";"0";"0";"2";"0";"0";"2";"2";"7";"4";"6"
"Uilenburg";"1";"0";"0";"0";"0";"1";"0";"1";"1";"2";"3";"7"
"Valkenburg";"1";"0";"0";"1";"0";"0";"2";"0";"6";"1";"3";"0"
"Zuiderkerkbuurt";"0";"0";"0";"0";"0";"0";"1";"0";"1";"5";"4";"4"
"Waterloopleinbuurt";"1";"0";"1";"1";"0";"0";"1";"2";"4";"3";"2";"2"
"Grachtengordel-Zuid";"0";"3";"0";"2";"2";"1";"5";"11";"9";"20";"11";"17"
"Leidsegracht-Zuid";"0";"1";"0";"0";"0";"0";"0";"1";"0";"4";"1";"3"
"Geelvinckbuurt";"0";"2";"0";"0";"0";"0";"0";"0";"2";"3";"1";"0"
"Rembrandtplein e.o.";"0";"0";"0";"1";"1";"0";"3";"4";"4";"2";"3";"9"
"Spiegelbuurt";"0";"0";"0";"0";"0";"0";"2";"4";"2";"6";"1";"0"
"Vijzelstraatbuurt";"0";"0";"0";"0";"1";"0";"0";"2";"0";"4";"3";"3"
"Amstelveldbuurt";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1";"2";"2"
"De Weteringschans";"1";"1";"6";"1";"3";"1";"5";"11";"19";"19";"13";"16"
"Leidsebuurt-Noordwest";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1"
"Leidsebuurt-Noordoost";"1";"0";"0";"0";"0";"0";"0";"5";"4";"4";"3";"4"
"Weteringbuurt";"0";"0";"4";"1";"1";"1";"0";"1";"4";"6";"6";"5"
"Utrechtsebuurt-Zuid";"0";"0";"0";"0";"1";"0";"1";"1";"4";"1";"1";"1"
