"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Soort misdrijf: 3.9.3 Fraude (overig)"
"Onderwerp: |Geregistreerde misdrijven"
"";"Perioden"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Wijken en buurten";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"2768";"2164";"2166";"1276";"225";"156";"124";"110";"93";"60";"29";"31"
"Haarlemmerbuurt";"38";"27";"24";"18";"2";"1";"0";"1";"4";"0";"0";"0"
"Planciusbuurt-Noord";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Westelijke eilanden";"8";"8";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"Westerdokseiland";"5";"5";"7";"7";"2";"0";"0";"0";"0";"0";"0";"0"
"Planciusbuurt-Zuid";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Haarlemmerbuurt-West";"9";"6";"4";"4";"0";"1";"0";"0";"2";"0";"0";"0"
"Haarlemmerbuurt-Oost";"14";"8";"11";"3";"0";"0";"0";"1";"2";"0";"0";"0"
"Jordaan";"59";"34";"47";"33";"2";"0";"2";"3";"1";"2";"0";"0"
"Marnixbuurt-Noord";"2";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Driehoekbuurt";"4";"3";"14";"6";"1";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Noord";"3";"4";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0"
"Zaagpoortbuurt";"6";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Anjeliersbuurt-Zuid";"11";"5";"5";"4";"0";"0";"0";"0";"1";"1";"0";"0"
"Marnixbuurt-Midden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bloemgrachtbuurt";"11";"4";"7";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"Groenmarktkadebuurt";"1";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Marnixbuurt-Zuid";"7";"3";"6";"1";"0";"0";"0";"2";"0";"0";"0";"0"
"Elandsgrachtbuurt";"9";"8";"7";"11";"1";"0";"1";"1";"0";"1";"0";"0"
