"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)";"Aangiften (aantal)"
"1.4.7 Overval";"2012";"Nederland";2104;2386
"1.4.7 Overval";"2013";"Nederland";1684;1925
"1.4.7 Overval";"2014";"Nederland";1324;1462
"1.4.7 Overval";"2015";"Nederland";1226;1348
"1.4.7 Overval";"2016";"Nederland";1152;1258
"1.4.7 Overval";"2017";"Nederland";1111;1211
"1.4.7 Overval";"2018";"Nederland";1148;1204
"1.4.7 Overval";"2019";"Nederland";1177;1207
"1.4.7 Overval";"2020";"Nederland";907;998
"1.4.7 Overval";"2021";"Nederland";684;797
"1.4.7 Overval";"2022";"Nederland";671;777
"1.4.7 Overval";"2023";"Nederland";539;600
"1.4.7 Overval";"2012";"Aa en Hunze";1;1
"1.4.7 Overval";"2013";"Aa en Hunze";;
"1.4.7 Overval";"2014";"Aa en Hunze";;
"1.4.7 Overval";"2015";"Aa en Hunze";;
"1.4.7 Overval";"2016";"Aa en Hunze";;
"1.4.7 Overval";"2017";"Aa en Hunze";;
"1.4.7 Overval";"2018";"Aa en Hunze";;
"1.4.7 Overval";"2019";"Aa en Hunze";1;1
"1.4.7 Overval";"2020";"Aa en Hunze";;
"1.4.7 Overval";"2021";"Aa en Hunze";;
"1.4.7 Overval";"2022";"Aa en Hunze";;
"1.4.7 Overval";"2023";"Aa en Hunze";;
"1.4.7 Overval";"2012";"Aalsmeer";;
"1.4.7 Overval";"2013";"Aalsmeer";2;2
"1.4.7 Overval";"2014";"Aalsmeer";1;1
"1.4.7 Overval";"2015";"Aalsmeer";4;3
"1.4.7 Overval";"2016";"Aalsmeer";;
"1.4.7 Overval";"2017";"Aalsmeer";;
"1.4.7 Overval";"2018";"Aalsmeer";1;2
"1.4.7 Overval";"2019";"Aalsmeer";;
"1.4.7 Overval";"2020";"Aalsmeer";1;
"1.4.7 Overval";"2021";"Aalsmeer";1;2
"1.4.7 Overval";"2022";"Aalsmeer";1;1
"1.4.7 Overval";"2023";"Aalsmeer";;
"1.4.7 Overval";"2012";"Aalten";;
"1.4.7 Overval";"2013";"Aalten";1;1
"1.4.7 Overval";"2014";"Aalten";;
"1.4.7 Overval";"2015";"Aalten";;
"1.4.7 Overval";"2016";"Aalten";;
"1.4.7 Overval";"2017";"Aalten";;
"1.4.7 Overval";"2018";"Aalten";;
"1.4.7 Overval";"2019";"Aalten";;
"1.4.7 Overval";"2020";"Aalten";;
"1.4.7 Overval";"2021";"Aalten";1;1
"1.4.7 Overval";"2022";"Aalten";;
"1.4.7 Overval";"2023";"Aalten";;
"1.4.7 Overval";"2012";"Achtkarspelen";2;3
"1.4.7 Overval";"2013";"Achtkarspelen";;
"1.4.7 Overval";"2014";"Achtkarspelen";;
"1.4.7 Overval";"2015";"Achtkarspelen";1;1
"1.4.7 Overval";"2016";"Achtkarspelen";;
"1.4.7 Overval";"2017";"Achtkarspelen";;
"1.4.7 Overval";"2018";"Achtkarspelen";;
"1.4.7 Overval";"2019";"Achtkarspelen";;
"1.4.7 Overval";"2020";"Achtkarspelen";;
"1.4.7 Overval";"2021";"Achtkarspelen";;
"1.4.7 Overval";"2022";"Achtkarspelen";;
"1.4.7 Overval";"2023";"Achtkarspelen";;
"1.4.7 Overval";"2012";"Alblasserdam";1;1
"1.4.7 Overval";"2013";"Alblasserdam";1;2
"1.4.7 Overval";"2014";"Alblasserdam";1;1
"1.4.7 Overval";"2015";"Alblasserdam";1;1
"1.4.7 Overval";"2016";"Alblasserdam";;
"1.4.7 Overval";"2017";"Alblasserdam";;
"1.4.7 Overval";"2018";"Alblasserdam";;
"1.4.7 Overval";"2019";"Alblasserdam";1;1
"1.4.7 Overval";"2020";"Alblasserdam";;
"1.4.7 Overval";"2021";"Alblasserdam";;
"1.4.7 Overval";"2022";"Alblasserdam";;
"1.4.7 Overval";"2023";"Alblasserdam";;
"1.4.7 Overval";"2012";"Albrandswaard";3;2
"1.4.7 Overval";"2013";"Albrandswaard";1;1
"1.4.7 Overval";"2014";"Albrandswaard";;
"1.4.7 Overval";"2015";"Albrandswaard";1;1
"1.4.7 Overval";"2016";"Albrandswaard";3;3
"1.4.7 Overval";"2017";"Albrandswaard";1;1
"1.4.7 Overval";"2018";"Albrandswaard";1;1
"1.4.7 Overval";"2019";"Albrandswaard";2;2
"1.4.7 Overval";"2020";"Albrandswaard";;
"1.4.7 Overval";"2021";"Albrandswaard";3;2
"1.4.7 Overval";"2022";"Albrandswaard";;
"1.4.7 Overval";"2023";"Albrandswaard";;
"1.4.7 Overval";"2012";"Alkmaar";16;15
"1.4.7 Overval";"2013";"Alkmaar";11;13
"1.4.7 Overval";"2014";"Alkmaar";24;23
"1.4.7 Overval";"2015";"Alkmaar";7;7
"1.4.7 Overval";"2016";"Alkmaar";5;4
"1.4.7 Overval";"2017";"Alkmaar";12;13
"1.4.7 Overval";"2018";"Alkmaar";13;11
"1.4.7 Overval";"2019";"Alkmaar";8;9
"1.4.7 Overval";"2020";"Alkmaar";6;6
"1.4.7 Overval";"2021";"Alkmaar";6;6
